"","share_of_people_who_disagree_vaccines_are_important_for_children_to_have","share_of_people_who_agree_vaccines_are_safe","share_of_people_who_disagree_vaccines_are_safe","share_of_people_who_agree_vaccines_are_effective","share_of_people_who_disagree_vaccines_are_effective","share_of_people_who_agree_vaccines_are_important_for_children_to_have","all_causes_disability_adjusted_life_years_who_2015","share_of_population_covered_by_health_insurance_ilo_2014","current_health_expenditure_per_capita_ppp_current_international","health_expenditure_per_capita_ppp_world_bank_2016","haq_index_ihme_2017","beds_in_for_profit_privately_owned_hospitals_per_1_000_population_oecd","beds_in_not_for_profit_privately_owned_hospitals_per_1_000_population_oecd","beds_in_publicly_owned_hospitals_per_1_000_population_oecd","acute_care_beds_per_1_000_population_oecd","dentists_per_100_000_population_oecd","for_profit_privately_owned_hospitals_per_million_population_oecd","general_hospitals_per_million_population_oecd","hospitals_per_million_population_oecd","long_term_care_beds_per_1_000_population_oecd","long_term_care_beds_per_1_000_population_aged_65_oecd","midwives_per_1_000_live_births_oecd","not_for_profit_privately_owned_hospitals_per_million_population_oecd","nurses_per_1_000_population_oecd","physicians_per_1_000_population_oecd","psychiatric_care_beds_per_1_000_population_oecd","psychiatrists_per_1_000_population_oecd","publicly_owned_hospitals_per_million_population_oecd","surgical_specialists_per_1_000_population_oecd","hospital_beds_per_1_000_population_oecd","healthy_life_expectancy_ihme","life_expectancy_ihme","years_lived_with_disability_ihme","public_expenditure_on_health_per_capita_in_developing_countries_ppp_world_bank_wdi_2017","out_of_pocket_expenditure_per_capita_on_healthcare_ppp_usd_who_global_health_expenditure","public_expenditure_on_health_percent_gdp_owid_extrapolated_series","total_gross_official_disbursements_for_medical_research_and_basic_heath_sectors","bcg_immunization_coverage_among_1_year_olds_who_2017","hepatitis_b_hep_b3_immunization_coverage_among_1_year_olds_who_2017","dtp3_immunization_coverage_among_1_year_olds_who_2017","polio_pol3_immunization_coverage_among_1_year_olds_who_2017","measles_mcv_immunization_coverage_among_1_year_olds_who_2017","number_of_confirmed_tetanus_cases_who_2017","number_confirmed_polio_cases_who_2017","number_of_confirmed_pertussis_cases_who_2017","number_of_confirmed_measles_cases_who_2017","number_of_confirmed_diphtheria_cases_who_2017","estimated_deaths_due_to_tuberculosis_per_100_000_population_excluding_hiv_who_2017","estimated_number_of_deaths_due_to_tuberculosis_excluding_hiv_who_2017"
"haq_index_ihme_2017",0.33,-0.39,0.01,-0.25,-0.26,-0.44,-0.87,0.77,0.78,0.76,1,-0.1,0.32,-0.22,-0.14,-0.09,-0.33,-0.37,-0.39,-0.32,-0.37,-0.15,0.39,0.31,0.12,-0.05,0.56,-0.5,0.19,0.5,0.91,0.93,0.85,0.84,0.71,0.48,-0.21,-0.04,0.37,0.48,0.5,0.51,-0.23,-0.11,0.15,-0.11,-0.14,-0.63,-0.17
"beds_in_for_profit_privately_owned_hospitals_per_1_000_population_oecd",0.12,0.06,-0.05,0.02,0.01,-0.07,0.13,-0.06,-0.04,-0.03,-0.1,1,0.27,0.05,0.47,-0.15,0.56,0.44,0.46,0.08,0.05,-0.07,0.19,-0.13,0.08,0.43,-0.06,0,0.2,0.25,-0.1,-0.1,-0.1,-0.18,-0.04,-0.14,0.37,-0.17,-0.03,-0.05,-0.04,-0.06,0.25,0.05,0.24,0.27,0.14,0.18,0.2
"beds_in_not_for_profit_privately_owned_hospitals_per_1_000_population_oecd",0.23,-0.09,0.17,0.02,0.04,-0.11,-0.18,0.21,0.61,0.62,0.32,0.27,1,-0.48,0.08,-0.35,0.25,-0.1,0.04,-0.37,-0.42,-0.07,0.84,0.39,0.03,0.26,0.42,-0.49,-0.1,0.19,0.24,0.25,0.27,0.31,0.42,0.31,0.26,-0.41,0,0.08,0.09,0.07,0.04,0.02,0.36,0.04,0.04,-0.08,0.06
"beds_in_publicly_owned_hospitals_per_1_000_population_oecd",0.11,-0.28,0.03,-0.38,0.05,-0.31,0.15,-0.1,-0.44,-0.45,-0.22,0.05,-0.48,1,0.63,0.35,-0.23,0.13,0.05,0.56,0.6,-0.1,-0.48,-0.26,0.26,0.44,-0.08,0.52,0.43,0.45,-0.23,-0.24,-0.26,-0.3,-0.27,-0.24,-0.1,0.47,0.16,0.1,0.11,0.1,-0.01,-0.01,-0.31,0.04,-0.03,0.07,-0.01
"acute_care_beds_per_1_000_population_oecd",0.17,-0.27,0.04,-0.31,0.05,-0.34,0.17,-0.06,-0.17,-0.17,-0.14,0.47,0.08,0.63,1,0.07,0.07,0.4,0.31,0.51,0.45,-0.12,-0.04,-0.12,0.24,0.84,-0.01,0.21,0.47,0.64,-0.2,-0.2,-0.17,-0.23,-0.15,-0.14,0.17,0.16,0.12,0.05,0.06,0.02,0.12,0.03,-0.05,0.13,0.04,0.17,0.08
"dentists_per_100_000_population_oecd",-0.15,-0.14,0.04,-0.11,-0.08,0,0,-0.04,-0.25,-0.26,-0.09,-0.15,-0.35,0.35,0.07,1,-0.33,-0.21,-0.28,0.15,0.18,-0.03,-0.33,0.04,0.37,0.03,0,0.06,0.23,0.04,-0.05,-0.05,-0.07,-0.06,-0.14,-0.07,-0.45,0.18,0.03,0.04,0.04,0.09,-0.15,-0.05,-0.37,-0.09,-0.09,-0.07,-0.12
"for_profit_privately_owned_hospitals_per_million_population_oecd",-0.16,0.37,-0.2,0.24,0.05,0.23,0.3,-0.28,-0.2,-0.18,-0.33,0.56,0.25,-0.23,0.07,-0.33,1,0.58,0.78,0.09,0.06,0.11,0.07,-0.08,-0.07,0.16,-0.22,0.23,-0.2,-0.23,-0.27,-0.28,-0.27,-0.38,-0.17,-0.22,0.52,-0.14,-0.21,-0.23,-0.23,-0.22,0.32,0.14,0.28,0.19,0.2,0.33,0.27
"general_hospitals_per_million_population_oecd",-0.19,0.19,-0.22,0.09,0.01,0.06,0.39,-0.31,-0.29,-0.29,-0.37,0.44,-0.1,0.13,0.4,-0.21,0.58,1,0.87,0.44,0.35,0.13,-0.12,-0.06,-0.01,0.42,-0.33,0.55,-0.03,0.03,-0.35,-0.36,-0.33,-0.44,-0.27,-0.28,0.6,-0.06,-0.26,-0.27,-0.27,-0.29,0.36,0.17,0.17,0.18,0.19,0.41,0.27
"hospitals_per_million_population_oecd",-0.11,0.17,-0.1,0.09,0.1,0.05,0.4,-0.35,-0.24,-0.24,-0.39,0.46,0.04,0.05,0.31,-0.28,0.78,0.87,1,0.32,0.24,0.08,0.02,-0.02,-0.06,0.4,-0.17,0.57,-0.05,-0.03,-0.37,-0.38,-0.35,-0.45,-0.25,-0.2,0.6,-0.09,-0.29,-0.29,-0.29,-0.29,0.34,0.16,0.23,0.17,0.18,0.39,0.26
"long_term_care_beds_per_1_000_population_oecd",-0.14,-0.1,-0.12,-0.2,-0.01,-0.12,0.21,-0.2,-0.5,-0.5,-0.32,0.08,-0.37,0.56,0.51,0.15,0.09,0.44,0.32,1,0.95,-0.07,-0.47,-0.3,0.07,0.52,-0.39,0.29,0.2,0.29,-0.27,-0.28,-0.3,-0.38,-0.39,-0.26,0.02,0.36,0.03,-0.03,-0.02,-0.01,0.07,0.01,-0.19,0.05,0.02,0.14,0.04
"long_term_care_beds_per_1_000_population_aged_65_oecd",-0.24,0.02,-0.19,-0.1,-0.05,0,0.25,-0.26,-0.56,-0.57,-0.37,0.05,-0.42,0.6,0.45,0.18,0.06,0.35,0.24,0.95,1,-0.04,-0.52,-0.3,0.08,0.41,-0.41,0.33,0.2,0.18,-0.31,-0.32,-0.33,-0.46,-0.45,-0.33,0.01,0.4,0.07,-0.01,0,0,0.1,0.02,-0.19,0.1,0.05,0.17,0.08
"midwives_per_1_000_live_births_oecd",-0.43,0.36,-0.18,0.46,-0.21,0.45,0.12,-0.17,-0.13,-0.18,-0.15,-0.07,-0.07,-0.1,-0.12,-0.03,0.11,0.13,0.08,-0.07,-0.04,1,-0.04,0.33,0.15,-0.16,-0.12,0.16,-0.17,-0.3,-0.11,-0.11,-0.1,-0.14,-0.13,-0.16,0.04,0.03,-0.02,-0.05,-0.06,-0.06,0.01,0.05,-0.21,-0.05,0.02,0.07,0.01
"not_for_profit_privately_owned_hospitals_per_million_population_oecd",0.24,-0.12,0.22,0.03,0.07,-0.11,-0.23,0.25,0.72,0.72,0.39,0.19,0.84,-0.48,-0.04,-0.33,0.07,-0.12,0.02,-0.47,-0.52,-0.04,1,0.52,-0.04,0.15,0.53,-0.42,-0.08,0.18,0.3,0.31,0.33,0.41,0.45,0.44,0.22,-0.47,-0.03,0.09,0.1,0.06,-0.01,-0.01,0.35,-0.01,0.01,-0.12,0
"nurses_per_1_000_population_oecd",-0.16,0.08,0.02,0.36,-0.25,0.2,-0.21,0.13,0.53,0.53,0.31,-0.13,0.39,-0.26,-0.12,0.04,-0.08,-0.06,-0.02,-0.3,-0.3,0.33,0.52,1,0.36,0.01,0.49,-0.04,0.01,0.01,0.24,0.26,0.31,0.24,0.33,0.3,0.04,-0.2,0.06,0.17,0.17,0.14,-0.08,-0.02,0.08,-0.11,0,-0.15,-0.03
"physicians_per_1_000_population_oecd",-0.02,-0.15,0.09,-0.01,-0.19,-0.07,-0.09,0.08,0.04,0.01,0.12,0.08,0.03,0.26,0.24,0.37,-0.07,-0.01,-0.06,0.07,0.08,0.15,-0.04,0.36,1,0.3,0.29,0.03,0.5,0.26,0.08,0.07,0.01,-0.03,0.15,0.05,-0.11,-0.05,0.15,0.18,0.2,0.18,-0.09,-0.05,-0.19,-0.05,-0.04,-0.1,-0.05
"psychiatric_care_beds_per_1_000_population_oecd",0.16,-0.35,0.1,-0.37,0.07,-0.38,0.09,0,-0.03,-0.03,-0.05,0.43,0.26,0.44,0.84,0.03,0.16,0.42,0.4,0.52,0.41,-0.16,0.15,0.01,0.3,1,0.12,0.12,0.36,0.64,-0.1,-0.1,-0.11,-0.14,-0.02,-0.05,0.21,0.01,0.06,0.03,0.06,0.03,0.12,0.03,-0.01,0.11,0.05,0.13,0.07
"psychiatrists_per_1_000_population_oecd",0.37,-0.39,0.31,-0.18,0,-0.36,-0.4,0.4,0.69,0.66,0.56,-0.06,0.42,-0.08,-0.01,0,-0.22,-0.33,-0.17,-0.39,-0.41,-0.12,0.53,0.49,0.29,0.12,1,-0.19,0.39,0.36,0.44,0.45,0.45,0.49,0.66,0.46,-0.07,-0.23,0.13,0.24,0.24,0.21,-0.19,-0.08,0.11,-0.14,-0.11,-0.32,-0.13
"publicly_owned_hospitals_per_million_population_oecd",-0.19,0.13,-0.07,0.05,0.05,0.11,0.43,-0.4,-0.52,-0.51,-0.5,0,-0.49,0.52,0.21,0.06,0.23,0.55,0.57,0.29,0.33,0.16,-0.42,-0.04,0.03,0.12,-0.19,1,0.03,-0.16,-0.47,-0.48,-0.45,-0.55,-0.39,-0.36,0.23,0.24,-0.17,-0.2,-0.2,-0.22,0.18,0.08,-0.12,0.09,0.1,0.35,0.14
"surgical_specialists_per_1_000_population_oecd",0.17,-0.26,0.01,-0.21,-0.13,-0.31,-0.15,0.15,0.05,0.03,0.19,0.2,-0.1,0.43,0.47,0.23,-0.2,-0.03,-0.05,0.2,0.2,-0.17,-0.08,0.01,0.5,0.36,0.39,0.03,1,0.49,0.14,0.13,0.08,0.07,0.16,0.1,-0.12,0.03,0.22,0.19,0.2,0.17,-0.13,-0.08,-0.13,-0.08,-0.07,-0.14,-0.09
"hospital_beds_per_1_000_population_oecd",0.5,-0.68,0.25,-0.58,-0.02,-0.72,-0.39,0.45,0.36,0.35,0.5,0.25,0.19,0.45,0.64,0.04,-0.23,0.03,-0.03,0.29,0.18,-0.3,0.18,0.01,0.26,0.64,0.36,-0.16,0.49,1,0.39,0.39,0.35,0.39,0.35,0.25,-0.1,0.16,0.34,0.36,0.39,0.37,-0.22,-0.1,0.01,-0.08,-0.18,-0.32,-0.19
"healthy_life_expectancy_ihme",0.2,-0.27,-0.08,-0.17,-0.29,-0.32,-0.94,0.69,0.66,0.65,0.91,-0.1,0.24,-0.23,-0.2,-0.05,-0.27,-0.35,-0.37,-0.27,-0.31,-0.11,0.3,0.24,0.08,-0.1,0.44,-0.47,0.14,0.39,1,1,0.82,0.76,0.64,0.39,-0.26,0.06,0.44,0.53,0.55,0.57,-0.16,-0.08,0.13,-0.08,-0.1,-0.64,-0.12
"life_expectancy_ihme",0.21,-0.27,-0.09,-0.17,-0.3,-0.32,-0.94,0.7,0.68,0.66,0.93,-0.1,0.25,-0.24,-0.2,-0.05,-0.28,-0.36,-0.38,-0.28,-0.32,-0.11,0.31,0.26,0.07,-0.1,0.45,-0.48,0.13,0.39,1,1,0.87,0.77,0.64,0.39,-0.25,0.05,0.43,0.52,0.54,0.55,-0.16,-0.07,0.14,-0.09,-0.09,-0.64,-0.12
"years_lived_with_disability_ihme",0.21,-0.22,-0.1,-0.14,-0.27,-0.29,-0.79,0.65,0.68,0.66,0.85,-0.1,0.27,-0.26,-0.17,-0.07,-0.27,-0.33,-0.35,-0.3,-0.33,-0.1,0.33,0.31,0.01,-0.11,0.45,-0.45,0.08,0.35,0.82,0.87,1,0.73,0.6,0.34,-0.16,-0.03,0.31,0.4,0.4,0.4,-0.12,-0.04,0.19,-0.14,-0.07,-0.55,-0.05
"public_expenditure_on_health_per_capita_in_developing_countries_ppp_world_bank_wdi_2017",0.33,-0.34,0.08,-0.21,-0.15,-0.36,-0.7,0.71,0.75,0.74,0.84,-0.18,0.31,-0.3,-0.23,-0.06,-0.38,-0.44,-0.45,-0.38,-0.46,-0.14,0.41,0.24,-0.03,-0.14,0.49,-0.55,0.07,0.39,0.76,0.77,0.73,1,0.65,0.6,-0.27,-0.09,0.25,0.33,0.34,0.36,-0.25,-0.1,0.14,-0.17,-0.14,-0.53,-0.18
"out_of_pocket_expenditure_per_capita_on_healthcare_ppp_usd_who_global_health_expenditure",0.39,-0.31,0.07,-0.16,-0.17,-0.4,-0.57,0.52,0.79,0.72,0.71,-0.04,0.42,-0.27,-0.15,-0.14,-0.17,-0.27,-0.25,-0.39,-0.45,-0.13,0.45,0.33,0.15,-0.02,0.66,-0.39,0.16,0.35,0.64,0.64,0.6,0.65,1,0.31,-0.09,-0.19,0.2,0.29,0.31,0.3,-0.14,-0.06,0.21,-0.1,-0.08,-0.43,-0.1
"public_expenditure_on_health_percent_gdp_owid_extrapolated_series",0.24,-0.26,0.18,-0.11,0.01,-0.22,-0.37,0.38,0.53,0.53,0.48,-0.14,0.31,-0.24,-0.14,-0.07,-0.22,-0.28,-0.2,-0.26,-0.33,-0.16,0.44,0.3,0.05,-0.05,0.46,-0.36,0.1,0.25,0.39,0.39,0.34,0.6,0.31,1,-0.13,-0.12,0.16,0.25,0.24,0.26,-0.22,-0.11,0.12,-0.15,-0.13,-0.27,-0.17
"total_gross_official_disbursements_for_medical_research_and_basic_heath_sectors",-0.05,0.25,-0.15,0.15,0.16,0.11,0.33,-0.27,-0.03,-0.02,-0.21,0.37,0.26,-0.1,0.17,-0.45,0.52,0.6,0.6,0.02,0.01,0.04,0.22,0.04,-0.11,0.21,-0.07,0.23,-0.12,-0.1,-0.26,-0.25,-0.16,-0.27,-0.09,-0.13,1,-0.24,-0.21,-0.2,-0.22,-0.25,0.38,0.18,0.36,0.33,0.27,0.47,0.54
"bcg_immunization_coverage_among_1_year_olds_who_2017",-0.08,0.01,-0.13,-0.04,-0.14,-0.02,-0.13,-0.02,-0.29,-0.29,-0.04,-0.17,-0.41,0.47,0.16,0.18,-0.14,-0.06,-0.09,0.36,0.4,0.03,-0.47,-0.2,-0.05,0.01,-0.23,0.24,0.03,0.16,0.06,0.05,-0.03,-0.09,-0.19,-0.12,-0.24,1,0.63,0.54,0.52,0.5,-0.04,-0.04,-0.2,-0.03,-0.07,-0.13,-0.05
"hepatitis_b_hep_b3_immunization_coverage_among_1_year_olds_who_2017",0.01,-0.06,-0.15,-0.04,-0.32,-0.12,-0.46,0.3,0.2,0.19,0.37,-0.03,0,0.16,0.12,0.03,-0.21,-0.26,-0.29,0.03,0.07,-0.02,-0.03,0.06,0.15,0.06,0.13,-0.17,0.22,0.34,0.44,0.43,0.31,0.25,0.2,0.16,-0.21,0.63,1,0.95,0.92,0.86,-0.11,-0.1,-0.01,-0.02,-0.06,-0.34,-0.07
"dtp3_immunization_coverage_among_1_year_olds_who_2017",0.05,-0.1,-0.12,-0.04,-0.34,-0.15,-0.54,0.37,0.33,0.31,0.48,-0.05,0.08,0.1,0.05,0.04,-0.23,-0.27,-0.29,-0.03,-0.01,-0.05,0.09,0.17,0.18,0.03,0.24,-0.2,0.19,0.36,0.53,0.52,0.4,0.33,0.29,0.25,-0.2,0.54,0.95,1,0.97,0.9,-0.13,-0.11,0.02,-0.03,-0.07,-0.39,-0.09
"polio_pol3_immunization_coverage_among_1_year_olds_who_2017",0.07,-0.13,-0.11,-0.07,-0.34,-0.17,-0.57,0.41,0.34,0.32,0.5,-0.04,0.09,0.11,0.06,0.04,-0.23,-0.27,-0.29,-0.02,0,-0.06,0.1,0.17,0.2,0.06,0.24,-0.2,0.2,0.39,0.55,0.54,0.4,0.34,0.31,0.24,-0.22,0.52,0.92,0.97,1,0.91,-0.1,-0.12,0.02,-0.04,-0.07,-0.43,-0.1
"measles_mcv_immunization_coverage_among_1_year_olds_who_2017",0.03,-0.12,-0.15,-0.07,-0.34,-0.15,-0.58,0.41,0.32,0.3,0.51,-0.06,0.07,0.1,0.02,0.09,-0.22,-0.29,-0.29,-0.01,0,-0.06,0.06,0.14,0.18,0.03,0.21,-0.22,0.17,0.37,0.57,0.55,0.4,0.36,0.3,0.26,-0.25,0.5,0.86,0.9,0.91,1,-0.13,-0.17,0.03,-0.05,-0.1,-0.46,-0.1
"number_of_confirmed_tetanus_cases_who_2017",-0.1,0.21,-0.16,0.09,0.05,0.12,0.15,-0.21,-0.16,-0.15,-0.23,0.25,0.04,-0.01,0.12,-0.15,0.32,0.36,0.34,0.07,0.1,0.01,-0.01,-0.08,-0.09,0.12,-0.19,0.18,-0.13,-0.22,-0.16,-0.16,-0.12,-0.25,-0.14,-0.22,0.38,-0.04,-0.11,-0.13,-0.1,-0.13,1,0.17,0.39,0.41,0.59,0.19,0.7
"number_confirmed_polio_cases_who_2017",-0.03,0.09,-0.09,0.06,-0.02,0.02,0.06,-0.09,-0.07,-0.06,-0.11,0.05,0.02,-0.01,0.03,-0.05,0.14,0.17,0.16,0.01,0.02,0.05,-0.01,-0.02,-0.05,0.03,-0.08,0.08,-0.08,-0.1,-0.08,-0.07,-0.04,-0.1,-0.06,-0.11,0.18,-0.04,-0.1,-0.11,-0.12,-0.17,0.17,1,-0.01,0.01,-0.01,0.08,0.11
"number_of_confirmed_pertussis_cases_who_2017",0.11,0.04,-0.06,0.07,-0.07,-0.06,-0.11,0.1,0.35,0.36,0.15,0.24,0.36,-0.31,-0.05,-0.37,0.28,0.17,0.23,-0.19,-0.19,-0.21,0.35,0.08,-0.19,-0.01,0.11,-0.12,-0.13,0.01,0.13,0.14,0.19,0.14,0.21,0.12,0.36,-0.2,-0.01,0.02,0.02,0.03,0.39,-0.01,1,0.34,0.45,-0.01,0.55
"number_of_confirmed_measles_cases_who_2017",-0.04,0.12,-0.11,0.06,-0.04,0.06,0.07,-0.04,-0.13,-0.12,-0.11,0.27,0.04,0.04,0.13,-0.09,0.19,0.18,0.17,0.05,0.1,-0.05,-0.01,-0.11,-0.05,0.11,-0.14,0.09,-0.08,-0.08,-0.08,-0.09,-0.14,-0.17,-0.1,-0.15,0.33,-0.03,-0.02,-0.03,-0.04,-0.05,0.41,0.01,0.34,1,0.35,0.16,0.52
"number_of_confirmed_diphtheria_cases_who_2017",-0.07,0.15,-0.11,0.13,-0.09,0.09,0.05,-0.15,-0.09,-0.09,-0.14,0.14,0.04,-0.03,0.04,-0.09,0.2,0.19,0.18,0.02,0.05,0.02,0.01,0,-0.04,0.05,-0.11,0.1,-0.07,-0.18,-0.1,-0.09,-0.07,-0.14,-0.08,-0.13,0.27,-0.07,-0.06,-0.07,-0.07,-0.1,0.59,-0.01,0.45,0.35,1,0.17,0.77
"estimated_deaths_due_to_tuberculosis_per_100_000_population_excluding_hiv_who_2017",-0.15,0.3,-0.02,0.12,0.35,0.27,0.68,-0.51,-0.41,-0.4,-0.63,0.18,-0.08,0.07,0.17,-0.07,0.33,0.41,0.39,0.14,0.17,0.07,-0.12,-0.15,-0.1,0.13,-0.32,0.35,-0.14,-0.32,-0.64,-0.64,-0.55,-0.53,-0.43,-0.27,0.47,-0.13,-0.34,-0.39,-0.43,-0.46,0.19,0.08,-0.01,0.16,0.17,1,0.29
