,Life expectancy at birth,,Neonatal mortality rate,,Infant mortality rate,,Under-five mortality rate,,,,Adult mortality rate,
France,77,83,4,3,7,4,9,5,5,4,94,48
French Polynesia,69,78,..,..,..,..,..,..,..,..,111,65
Gabon,61,66,31,20,60,31,92,43,47,38,236,180
"Gambia, The",52,62,46,27,82,36,167,52,56,47,276,220
Georgia,70,74,25,5,41,9,48,10,11,9,219,76
Germany,75,81,3,2,7,3,9,4,4,4,87,48
Ghana,57,64,42,23,80,34,127,46,51,41,252,211
Greece,77,82,7,2,9,3,10,4,4,3,92,42
Greenland,65,71,..,..,..,..,..,..,..,..,..,..
Grenada,70,72,12,11,18,15,22,17,18,15,179,117
Guam,72,80,..,..,..,..,..,..,..,..,78,38
Guatemala,62,74,28,12,59,21,80,25,27,22,199,110
Guinea,50,62,61,30,137,64,231,99,105,93,257,229
Guinea-Bissau,47,58,63,35,131,52,221,79,85,72,370,297
Guyana,63,70,31,19,46,24,60,29,33,25,268,181
Haiti,54,64,39,25,100,48,145,63,68,57,255,195
Honduras,67,75,22,9,45,15,58,17,19,15,165,114
Hungary,69,76,11,2,15,3,17,4,4,3,168,81
Iceland,78,83,4,1,5,2,7,2,2,2,69,41
India,58,70,57,22,89,28,126,34,34,35,201,145
Indonesia,62,72,31,12,62,20,84,24,26,21,176,124
"Iran, Islamic Rep.",64,77,25,9,44,12,56,14,15,13,82,49
Iraq,66,71,26,15,42,22,54,26,28,23,184,128
Ireland,75,82,5,2,8,3,9,3,4,3,71,42
Isle of Man,..,..,..,..,..,..,..,..,..,..,..,..
Israel,77,83,6,2,10,3,12,4,4,3,71,40
Italy,77,83,6,2,8,3,10,3,3,3,66,37
Jamaica,73,74,20,10,25,12,30,14,16,12,175,103
Japan,79,84,3,1,5,2,6,3,3,2,64,36
Jordan,70,75,20,9,30,13,36,16,17,14,123,88
Kazakhstan,68,73,23,5,44,9,52,11,12,9,219,93
Kenya,57,67,28,21,65,32,102,43,47,39,262,191
Kiribati,60,68,35,22,69,40,96,51,56,46,233,151
"Korea, Dem. People's Rep.",70,72,21,10,33,13,43,17,19,15,160,94
"Korea, Rep.",72,83,7,2,13,3,15,3,4,3,78,32
Kosovo,67,72,..,..,..,..,..,..,..,..,..,..
Kuwait,72,75,10,5,15,7,18,8,9,7,69,40
Kyrgyz Republic,68,72,24,12,54,16,65,18,20,16,209,93
Lao PDR,53,68,47,22,105,36,153,46,50,41,202,153
Latvia,69,75,8,2,13,3,17,4,4,3,229,85
Lebanon,70,79,21,4,27,6,32,7,8,7,75,53
Lesotho,60,54,39,43,68,68,85,86,94,79,540,414
Liberia,46,64,59,32,175,62,263,85,91,78,245,204
Libya,69,73,21,7,36,10,42,12,13,10,178,98
Liechtenstein,..,83,..,..,..,..,..,..,..,..,..,..
Lithuania,71,76,8,2,12,3,15,4,4,3,201,73
Luxembourg,75,82,4,2,7,2,9,3,3,3,66,39
Madagascar,51,67,39,20,96,37,157,51,55,46,229,178
Malawi,46,64,50,20,141,31,243,42,46,37,319,207
Malaysia,71,76,8,5,14,7,17,9,9,8,159,83
Maldives,62,79,39,5,63,7,86,8,8,7,66,41
Mali,46,59,67,32,120,60,230,94,99,88,260,241
Malta,77,83,8,5,10,6,11,7,8,6,63,35
Marshall Islands,..,..,19,15,39,26,49,32,35,28,..,..
Mauritania,60,65,46,32,71,50,118,73,79,67,217,174
Mauritius,69,74,15,10,20,14,23,16,18,14,187,93
Mexico,71,75,22,9,36,12,45,14,16,13,183,95
"Micronesia, Fed. Sts.",64,68,25,16,43,25,55,29,32,26,177,145
Moldova,68,72,19,11,28,12,33,14,16,13,236,95
Monaco,..,..,4,2,6,3,8,3,3,3,..,..
Mongolia,60,70,30,8,77,13,108,16,18,14,285,121
Montenegro,75,77,11,1,15,2,17,2,3,2,123,65
Morocco,65,77,36,14,63,18,79,21,24,19,71,61
Mozambique,45,61,62,29,162,55,243,74,79,70,383,263
Myanmar,57,67,47,22,81,36,115,45,49,40,245,148
Namibia,62,64,28,19,49,31,72,42,46,39,344,244
Nepal,54,71,58,20,97,26,140,31,33,29,164,126
Netherlands,77,82,5,3,7,4,8,4,4,4,64,47
New Caledonia,70,78,..,..,..,..,..,..,..,..,96,56
New Zealand,75,82,4,3,9,4,11,5,5,4,..,..
Nicaragua,64,74,23,10,51,14,67,17,19,15,198,101
Niger,44,62,55,24,133,47,329,80,84,77,248,219
Nigeria,46,55,50,36,124,74,210,117,124,110,361,321
North Macedonia,71,76,17,4,32,5,36,6,7,6,119,63
Northern Mariana Islands,..,..,..,..,..,..,..,..,..,..,..,..
Norway,77,83,4,1,7,2,9,2,3,2,62,39
Oman,67,78,17,5,32,10,39,11,13,10,100,62
Pakistan,60,67,64,41,107,56,140,67,72,63,172,136
Palau,69,..,19,9,30,16,35,17,19,15,..,..
Panama,73,79,18,9,26,13,31,15,16,13,146,76
Papua New Guinea,56,65,34,22,62,36,85,45,49,41,249,185
Paraguay,69,74,22,11,36,17,45,19,21,17,163,120
Peru,66,77,28,6,57,10,80,13,14,12,144,84
Philippines,66,71,19,13,40,22,57,27,30,24,234,130
Poland,71,78,11,3,15,4,17,4,5,4,160,62
Portugal,74,81,7,2,12,3,15,4,4,3,101,43
Puerto Rico,74,80,..,..,..,..,..,..,..,..,144,62
Qatar,76,80,11,3,18,6,21,7,7,6,41,31
Romania,70,75,16,3,24,6,31,7,8,6,170,73
Russian Federation,69,73,11,3,18,5,22,6,6,5,322,120
Rwanda,33,69,41,16,92,26,150,34,38,31,213,158
Samoa,66,73,16,8,25,13,30,15,16,14,137,80
San Marino,..,..,7,1,12,2,14,2,2,2,..,..
Sao Tome and Principe,58,70,26,14,69,24,108,30,33,27,187,123
Saudi Arabia,69,75,22,4,36,6,44,7,7,6,91,75
Senegal,57,68,40,22,71,33,139,45,49,41,213,142
Serbia,71,76,17,3,24,5,28,5,6,5,140,74
Seychelles,68,74,11,9,14,12,16,14,15,13,200,97
Sierra Leone,39,55,52,31,154,81,260,109,115,103,389,349
Singapore,75,83,4,1,6,2,8,3,3,2,59,34
Sint Maarten (Dutch part),..,..,..,..,..,..,..,..,..,..,..,..
Slovak Republic,71,77,9,3,13,5,15,6,6,5,145,64
Slovenia,73,81,6,1,9,2,10,2,2,2,91,45
Solomon Islands,64,73,15,8,31,17,38,20,21,18,162,124
Somalia,45,57,45,37,107,74,178,117,123,111,322,267
South Africa,63,64,20,12,45,28,57,35,37,31,372,245
South Sudan,44,58,64,39,148,62,250,96,101,92,348,298
Spain,77,83,5,2,7,3,9,3,3,3,72,37
Sri Lanka,70,77,13,4,19,6,22,7,8,7,149,55
St. Kitts and Nevis,68,..,19,10,25,13,31,15,17,14,..,..
St. Lucia,71,76,12,13,18,20,22,22,24,20,173,96
St. Martin (French part),75,80,..,..,..,..,..,..,..,..,..,..
St. Vincent and the Grenadines,71,73,13,9,20,13,24,15,16,13,206,124
Sudan,56,65,42,27,82,41,131,58,63,53,243,185
Suriname,67,72,21,11,39,16,45,18,20,16,218,117
Sweden,78,83,4,1,6,2,7,3,3,2,58,38
Switzerland,77,84,4,3,7,4,8,4,4,4,58,35
Syrian Arab Republic,71,73,16,11,30,18,37,22,23,20,210,70
Tajikistan,59,71,31,15,81,30,102,34,38,30,163,95
Tanzania,50,65,40,20,100,36,165,50,54,47,246,190
Thailand,70,77,21,5,30,8,37,9,10,8,185,77
Timor-Leste,48,69,55,20,131,38,175,44,48,40,167,116
Togo,56,61,43,25,89,46,145,67,72,61,274,240
Tonga,69,71,10,7,19,14,22,17,15,18,212,119
Trinidad and Tobago,68,74,20,12,27,16,30,18,19,16,185,108
Tunisia,69,77,28,12,43,15,55,17,18,15,105,66
Turkey,64,78,33,5,55,9,74,10,11,9,117,61
Turkmenistan,63,68,27,24,65,36,80,42,48,36,242,127
Turks and Caicos Islands,..,..,..,..,..,..,..,..,..,..,..,..
Tuvalu,..,..,28,16,42,20,53,24,26,22,..,..
Uganda,46,63,39,20,107,33,182,46,51,41,298,229
Ukraine,70,72,12,5,17,7,19,8,9,8,..,..
United Arab Emirates,72,78,8,4,14,6,17,8,8,7,69,44
United Kingdom,76,81,5,3,8,4,9,4,5,4,87,55
United States,75,79,6,4,9,6,11,7,7,6,138,81
Uruguay,73,78,12,4,20,6,23,7,8,6,138,75
Uzbekistan,66,72,31,10,59,16,72,17,20,15,169,100
Vanuatu,65,70,16,11,29,22,35,26,28,24,150,101
"Venezuela, RB",71,72,13,15,25,21,30,24,26,22,206,95
Vietnam,71,75,23,11,37,16,51,20,23,17,187,76
Virgin Islands (U.S.),74,80,..,..,..,..,..,..,..,..,69,41
West Bank and Gaza,68,74,22,11,36,17,45,19,21,18,125,91
"Yemen, Rep.",57,66,43,27,88,44,126,58,62,54,219,174
Zambia,49,64,36,23,107,42,180,62,66,57,317,218
Zimbabwe,58,61,25,26,50,38,77,55,59,50,369,333
World,65,73,37,18,65,28,93,38,40,36,172,118
East Asia & Pacific,69,76,28,7,43,12,57,14,16,13,120,73
Europe & Central Asia,72,78,14,4,25,7,31,8,9,7,115,59
Latin America & Caribbean,68,76,23,9,43,14,55,16,18,15,175,92
Middle East & North Africa,66,74,28,12,50,18,65,22,23,20,126,85
North America,75,79,6,4,9,5,11,6,7,6,132,77
South Asia,58,70,59,25,92,33,130,40,41,40,193,140
Sub-Saharan Africa,50,62,45,28,107,52,179,76,81,70,299,239
Low income,51,64,48,27,110,48,183,68,73,62,260,203
Lower middle income,59,69,50,24,86,37,124,49,51,47,209,151
Upper middle income,68,76,26,7,43,11,55,13,14,12,130,79
High income,75,81,7,3,11,4,13,5,6,5,105,58
,,,,,,,,,,,,
Most Recent Value (MRV) if data for the specified year or full period are not available; or growth rate is calculated for less than the full period.,,,,,,,,,,,,
,,,,,,,,,,,,
2.18 Mortality,,,,,,,,,,,,
,,,,,,,,,,,,
"World Development Indicators , THE WORLD BANK",,,,,,,,,,,,
Last updated date 04/26/2021,,,,,,,,,,,,
,,,,,,,,,,,,
About the Data,,,,,,,,,,,,
,,,,,,,,,,,,
"Life expectancy at birth, total (years)",,,,,,,,,,,,
Long definition,,,,,,,,,,,,
Life expectancy at birth indicates the number of years a newborn infant would live if prevailing patterns of mortality at the time of its birth were to stay the same throughout its life.,,,,,,,,,,,,
,,,,,,,,,,,,
Source,,,,,,,,,,,,
"(1) United Nations Population Division. World Population Prospects: 2019 Revision, or derived from male and female life expectancy at birth from sources such as: (2) Census reports and other statistical publications from national statistical offices, (3) Eurostat: Demographic Statistics, (4) United Nations Statistical Division. Population and Vital Statistics Reprot (various years), (5) U.S. Census Bureau: International Database, and (6) Secretariat of the Pacific Community: Statistics and Demography Programme.",,,,,,,,,,,,
,,,,,,,,,,,,
"Mortality rate, neonatal (per 1,000 live births)",,,,,,,,,,,,
Long definition,,,,,,,,,,,,
"Neonatal mortality rate is the number of neonates dying before reaching 28 days of age, per 1,000 live births in a given year.",,,,,,,,,,,,
,,,,,,,,,,,,
Source,,,,,,,,,,,,
"Estimates developed by the UN Inter-agency Group for Child Mortality Estimation (UNICEF, WHO, World Bank, UN DESA Population Division) at www.childmortality.org.",,,,,,,,,,,,
,,,,,,,,,,,,
General comments,,,,,,,,,,,,
"Given that data on the incidence and prevalence of diseases are frequently unavailable, mortality rates are often used to identify vulnerable populations. Moreover, they are among the indicators most frequently used to compare socioeconomic development across countries. Aggregate data for LIC, UMC, LMC, HIC are computed based on the groupings for the World Bank fiscal year in which the data was released by the UN Inter-agency Group for Child Mortality Estimation. This is the Sustainable Development Goal indicator 3.2.2 [https://unstats.un.org/sdgs/metadata/].",,,,,,,,,,,,
,,,,,,,,,,,,
"Mortality rate, infant (per 1,000 live births)",,,,,,,,,,,,
Long definition,,,,,,,,,,,,
"Infant mortality rate is the number of infants dying before reaching one year of age, per 1,000 live births in a given year.",,,,,,,,,,,,
,,,,,,,,,,,,
Source,,,,,,,,,,,,
"Estimates developed by the UN Inter-agency Group for Child Mortality Estimation (UNICEF, WHO, World Bank, UN DESA Population Division) at www.childmortality.org.",,,,,,,,,,,,
,,,,,,,,,,,,
General comments,,,,,,,,,,,,
"Given that data on the incidence and prevalence of diseases are frequently unavailable, mortality rates are often used to identify vulnerable populations. Moreover, they are among the indicators most frequently used to compare socioeconomic development across countries. Under-five mortality rates are higher for boys than for girls in countries in which parental gender preferences are insignificant. Under-five mortality captures the effect of gender discrimination better than infant mortality does, as malnutrition and medical interventions have more significant impacts to this age group. Where female under-five mortality is higher, girls are likely to have less access to resources than boys. Aggregate data for LIC, UMC, LMC, HIC are computed based on the groupings for the World Bank fiscal year in which the data was released by the UN Inter-agency Group for Child Mortality Estimation.",,,,,,,,,,,,
,,,,,,,,,,,,
"Mortality rate, under-5 (per 1,000 live births)",,,,,,,,,,,,
Long definition,,,,,,,,,,,,
"Under-five mortality rate is the probability per 1,000 that a newborn baby will die before reaching age five, if subject to age-specific mortality rates of the specified year.",,,,,,,,,,,,
,,,,,,,,,,,,
Source,,,,,,,,,,,,
"Estimates developed by the UN Inter-agency Group for Child Mortality Estimation (UNICEF, WHO, World Bank, UN DESA Population Division) at www.childmortality.org.",,,,,,,,,,,,
,,,,,,,,,,,,
General comments,,,,,,,,,,,,
"Given that data on the incidence and prevalence of diseases are frequently unavailable, mortality rates are often used to identify vulnerable populations. Moreover, they are among the indicators most frequently used to compare socioeconomic development across countries. Under-five mortality rates are higher for boys than for girls in countries in which parental gender preferences are insignificant. Under-five mortality captures the effect of gender discrimination better than infant mortality does, as malnutrition and medical interventions have more significant impacts to this age group. Where female under-five mortality is higher, girls are likely to have less access to resources than boys. Aggregate data for LIC, UMC, LMC, HIC are computed based on the groupings for the World Bank fiscal year in which the data was released by the UN Inter-agency Group for Child Mortality Estimation. This is the Sustainable Development Goal indicator 3.2.1[https://unstats.un.org/sdgs/metadata/].",,,,,,,,,,,,
,,,,,,,,,,,,
"Mortality rate, under-5, male (per 1,000 live births)",,,,,,,,,,,,
Long definition,,,,,,,,,,,,
"Under-five mortality rate, male is the probability per 1,000 that a newborn male baby will die before reaching age five, if subject to male age-specific mortality rates of the specified year.",,,,,,,,,,,,
,,,,,,,,,,,,
Source,,,,,,,,,,,,
"Estimates developed by the UN Inter-agency Group for Child Mortality Estimation (UNICEF, WHO, World Bank, UN DESA Population Division) at www.childmortality.org.",,,,,,,,,,,,
,,,,,,,,,,,,
General comments,,,,,,,,,,,,
"Given that data on the incidence and prevalence of diseases are frequently unavailable, mortality rates are often used to identify vulnerable populations. Moreover, they are among the indicators most frequently used to compare socioeconomic development across countries. Under-five mortality rates are higher for boys than for girls in countries in which parental gender preferences are insignificant. Under-five mortality captures the effect of gender discrimination better than infant mortality does, as malnutrition and medical interventions have more significant impacts to this age group. Where female under-five mortality is higher, girls are likely to have less access to resources than boys. Aggregate data for LIC, UMC, LMC, HIC are computed based on the groupings for the World Bank fiscal year in which the data was released by the UN Inter-agency Group for Child Mortality Estimation. This is a sex-disaggregated indicator for Sustainable Development Goal 3.2.1 [https://unstats.un.org/sdgs/metadata/].",,,,,,,,,,,,
,,,,,,,,,,,,
"Mortality rate, under-5, female (per 1,000 live births)",,,,,,,,,,,,
Long definition,,,,,,,,,,,,
"Under-five mortality rate, female is the probability per 1,000 that a newborn female baby will die before reaching age five, if subject to female age-specific mortality rates of the specified year.",,,,,,,,,,,,
,,,,,,,,,,,,
Source,,,,,,,,,,,,
"Estimates developed by the UN Inter-agency Group for Child Mortality Estimation (UNICEF, WHO, World Bank, UN DESA Population Division) at www.childmortality.org.",,,,,,,,,,,,
,,,,,,,,,,,,
General comments,,,,,,,,,,,,
"Given that data on the incidence and prevalence of diseases are frequently unavailable, mortality rates are often used to identify vulnerable populations. Moreover, they are among the indicators most frequently used to compare socioeconomic development across countries. Under-five mortality rates are higher for boys than for girls in countries in which parental gender preferences are insignificant. Under-five mortality captures the effect of gender discrimination better than infant mortality does, as malnutrition and medical interventions have more significant impacts to this age group. Where female under-five mortality is higher, girls are likely to have less access to resources than boys. Aggregate data for LIC, UMC, LMC, HIC are computed based on the groupings for the World Bank fiscal year in which the data was released by the UN Inter-agency Group for Child Mortality Estimation. This is a sex-disaggregated indicator for Sustainable Development Goal 3.2.1 [https://unstats.un.org/sdgs/metadata/].",,,,,,,,,,,,
,,,,,,,,,,,,
"Mortality rate, adult, male (per 1,000 male adults)",,,,,,,,,,,,
Long definition,,,,,,,,,,,,
"Adult mortality rate, male, is the probability of dying between the ages of 15 and 60--that is, the probability of a 15-year-old male dying before reaching age 60, if subject to age-specific mortality rates of the specified year between those ages.",,,,,,,,,,,,
,,,,,,,,,,,,
Source,,,,,,,,,,,,
"(1) United Nations Population Division. World Population Prospects: 2019 Revision. (2) University of California, Berkeley, and Max Planck Institute for Demographic Research. The Human Mortality Database.",,,,,,,,,,,,
,,,,,,,,,,,,
"Mortality rate, adult, female (per 1,000 female adults)",,,,,,,,,,,,
Long definition,,,,,,,,,,,,
"Adult mortality rate, female, is the probability of dying between the ages of 15 and 60--that is, the probability of a 15-year-old female dying before reaching age 60, if subject to age-specific mortality rates of the specified year between those ages.",,,,,,,,,,,,
,,,,,,,,,,,,
Source,,,,,,,,,,,,
"(1) United Nations Population Division. World Population Prospects: 2019 Revision. (2) University of California, Berkeley, and Max Planck Institute for Demographic Research. The Human Mortality Database.",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"Please see the online table at http://wdi.worldbank.org/table/2.18 for observation-level metadata, which can be downloaded in Excel.",,,,,,,,,,,,
