"","Entity","Total.COVID.19.tests.performed","Total.COVID.19.tests.performed.per.million.people","Alpha","B.1.1.277","B.1.1.302","B.1.160","B.1.177","B.1.221","B.1.258","B.1.367","Beta","Delta","Epsilon","Eta","Gamma","Iota","Kappa","S.677H.Robin1","S.677P.Pelican","others","non_who","Lambda","B.1.621","B.1.620","B.1.1.519","Daily.new.confirmed.cases.of.COVID.19","Daily.new.confirmed.deaths.due.to.COVID.19","Total.confirmed.cases.of.COVID.19","Total.confirmed.deaths.due.to.COVID.19","Daily.new.confirmed.cases.of.COVID.19.per.million.people","Daily.new.confirmed.deaths.due.to.COVID.19.per.million.people","Total.confirmed.cases.of.COVID.19.per.million.people","Total.confirmed.deaths.due.to.COVID.19.per.million.people","Days.since.the.total.confirmed.cases.of.COVID.19.reached.100","Days.since.the.total.confirmed.deaths.of.COVID.19.reached.5","Days.since.the.total.confirmed.cases.of.COVID.19.per.million.people.reached.1","Days.since.the.total.confirmed.deaths.of.COVID.19.per.million.people.reached.0.1","Case.fatality.rate.of.COVID.19....","Case.fatality.rate.of.COVID.19......Only.observations.with..100.cases.","Days.since.30.daily.new.confirmed.cases.recorded","Days.since.50.daily.new.confirmed.cases.recorded","Days.since.10.daily.new.confirmed.deaths.recorded","Days.since.5.daily.new.confirmed.deaths.recorded","Days.since.3.daily.new.confirmed.deaths.recorded","Daily.new.confirmed.deaths.due.to.COVID.19..rolling.7.day.average..right.aligned.","Daily.new.confirmed.cases.due.to.COVID.19..rolling.7.day.average..right.aligned.","Days.since.daily.new.confirmed.cases.of.COVID.19.per.million.people..rolling.7.day.average..right.aligned..reached.1","Days.since.daily.new.confirmed.deaths.due.to.COVID.19.per.million.people..rolling.7.day.average..right.aligned..reached.0.1","Daily.new.confirmed.cases.of.COVID.19..rolling.3.day.average..right.aligned.","Daily.new.confirmed.deaths.due.to.COVID.19..rolling.3.day.average..right.aligned.","Daily.new.confirmed.cases.of.COVID.19.per.million.people..rolling.7.day.average..right.aligned.","Daily.new.confirmed.deaths.due.to.COVID.19.per.million.people..rolling.7.day.average..right.aligned.","Days.since.daily.new.confirmed.cases.of.COVID.19..rolling.7.day.average..right.aligned..reached.30","Days.since.daily.new.confirmed.deaths.due.to.COVID.19..rolling.7.day.average..right.aligned..reached.5","Days.since.daily.new.confirmed.deaths.due.to.COVID.19.per.million.people..rolling.7.day.average..right.aligned..reached.0.01","Daily.new.confirmed.cases.of.COVID.19.per.million.people..rolling.3.day.average..right.aligned.","Daily.new.confirmed.deaths.due.to.COVID.19.per.million.people..rolling.3.day.average..right.aligned.","Days.since.the.total.confirmed.cases.of.COVID.19.reached.100..with.population...5M.","Has.population...5M.AND.had..100.cases..21.days.ago.AND.has.testing.data","Doubling.days.of.total.confirmed.cases..3.day.period.","Doubling.days.of.total.confirmed.cases..7.day.period.","Doubling.days.of.total.confirmed.deaths..3.day.period.","Doubling.days.of.total.confirmed.deaths..7.day.period.","Weekly.cases","Weekly.deaths","Weekly.case.growth....","Weekly.death.growth....","Biweekly.cases","Biweekly.deaths","Biweekly.case.growth....","Biweekly.death.growth....","Weekly.cases.per.million.people","Weekly.deaths.per.million.people","Biweekly.cases.per.million.people","Biweekly.deaths.per.million.people","Case.fatality.rate.of.COVID.19......Short.term.","Daily.ICU.occupancy","Daily.ICU.occupancy.per.million","Daily.hospital.occupancy","Daily.hospital.occupancy.per.million","Weekly.new.ICU.admissions","Weekly.new.ICU.admissions.per.million","Weekly.new.hospital.admissions","Weekly.new.hospital.admissions.per.million","school_closures","workplace_closures","cancel_public_events","close_public_transport","public_information_campaigns","restrictions_internal_movements","international_travel_controls","fiscal_measures","emergency_investment_healthcare","investment_vaccines","contact_tracing","stringency_index","restriction_gatherings","stay_home_requirements","income_support","debt_relief","international_support","testing_policy","containment_index","facial_coverings","vaccination_policy","vaccine_eligibility","total_tests","new_tests","total_tests_per_thousand","new_tests_per_thousand","annotation","cumulative_tests_per_case","cumulative_positivity_rate","testing_observations","days_since_observation","observations_found","new_tests_7day_smoothed","new_tests_per_thousand_7day_smoothed","short_term_tests_per_case","short_term_positivity_rate","Importance..Larson.et.al..2016..","Safety..Larson.et.al..2016..","Effectiveness..Larson.et.al..2016..","Religious.compatibility..Larson.et.al..2016.."
"11","Czech Republic",2353,222.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Denmark",3839,665.4,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,745,1,42157,709,128.621,0.173,7278.232,122.406,232,222,238,226,1.682,1.682,232,232,218,218,224,3,826.28571,232,222,915.33333,3,142.65486,0.518,231,215,226,158.02833,0.518,232,1,30.87,32.88,162.77,161.38,5784,21,76.7726161369193,50,9056,35,60.6528295192478,45.8333333333333,998.584,3.626,1563.481,6.043,0.728,19,3.268,167,28.727,NA,NA,187.695,32.287,1,1,0,0,2,0,2,NA,NA,0,2,24.07,0,0,0,0,NA,3,45.24,2,5,3,17198707,27814,2969.286,4.802,"tests performed",83.3,0.012,380,2,380,129640,22.382,244,0.004,3.4,6.3,4.1,10.5
"13","Finland",900,163.3,1.02,0,0,0,0,0,0,0,0,98.58,0,0,0.2,0,0,0,0,0.2,0.2,0,0,0,0,193,0,15163,354,34.833,0,2736.649,63.891,229,214,240,220,2.335,2.335,229,229,189,206,214,0.42857,187.71429,233,215,170.33333,0.33333,33.87914,0.07729,228,192,220,30.742,0.06,229,1,60.66,53.53,735.08,570.11,1314,3,-2.66666666666666,-40,2664,8,2.18642117376295,166.666666666667,237.153,0.541,480.804,1.444,0.181,31,5.587,205,36.948,NA,NA,NA,NA,1,1,0,0,2,0,2,NA,NA,0,2,24.07,0,1,2,1,NA,2,41.07,1,5,3,3431627,20505,619.347,3.701,"tests performed",58.8,0.017,371,2,371,19051,3.438,30.9,0.032,2,4.8,3.4,2.2
"14","France",6628,98.8,2.84,0,0,0,0,0,0,0,0,94.08,0,0,2.84,0,0,0,0,0.24,0.24,0,0,0,0,33417,523,1198695,35541,511.953,8.012,18364.187,544.493,241,236,241,236,2.965,2.965,241,237,232,233,236,236.57143,38278.57143,235,229,37399.33333,298.66667,586.43343,3.62414,237,230,236,572.96333,4.57533,241,1,21.16,19.18,81.44,101.69,267950,1656,53.7530196875018,73.9495798319328,442223,2608,114.898776374999,150.769230769231,4105.034,25.37,6774.923,39.955,1.319,1018,15.067,6377,94.384,345.247,5.11,1467.3,21.717,1,2,2,1,2,2,3,NA,NA,0,1,66.67,3,0,1,0,NA,3,70.54,2,5,NA,NA,406903,NA,6.234,"people tested",NA,NA,293,4,293,298147,4.568,13.7,0.073,11.7,41,17.3,10.5
"15","Hungary",858,87.7,0,0,0,94.59,0,0,0,0,0,0,0,0,0,0,0,0,0,5.41,100,0,0,0,0,2291,43,65933,1578,237.155,4.451,6825.115,163.348,221,219,231,226,2.393,2.393,219,213,203,208,221,45.57143,2250.42857,222,218,2228.66667,51,232.95529,4.71743,215,203,226,230.70267,5.27933,221,1,19.45,17.77,20.39,21.48,15753,319,67.6207703766759,35.1694915254237,25151,555,75.623210669646,115.116279069767,1630.686,33.022,2603.529,57.451,4.15,NA,NA,1233,127.982,NA,NA,NA,NA,0,0,1,0,2,0,1,NA,NA,0,1,27.78,3,0,0,1,NA,3,41.67,2,5,NA,3330345,31274,344.744,3.237,"tests performed",NA,NA,364,0,364,25183,2.607,NA,NA,NA,NA,NA,NA
"16","Iceland",856,2508.2,14.71,0,0,0,32.35,5.88,11.76,0,0,0,0,0,0,0,0,0,0,35.3,85.29,0,0,0,0,70,0,4574,11,205.128,0,13403.663,32.234,229,204,242,222,0.24,0.24,229,222,NA,NA,NA,0,54.42857,240,222,60,0,159.49771,0,222,NA,222,175.82433,0,NA,0,51.79,55.79,NA,NA,381,0,-27.4285714285714,-100,906,1,-6.88591983556013,NA,1116.484,0,2654.945,2.93,0,NA,NA,7,20.387,0,0,6.601,19.224,2,1,1,0,2,0,3,NA,NA,0,2,41.67,2,0,2,2,NA,3,51.79,2,5,NA,279832,495,820.021,1.451,"tests performed",45.5,0.022,372,1,372,400,1.172,311,0.003,1,5.5,2.3,12
"17","India",4058,3,0,0,0,0,0,0,0,0,0,99.21,0,0,0,0,0,0,0,0.79,0.79,0,0,0,0,43893,508,7990322,120010,31.806,0.368,5790.07,86.963,225,219,210,203,1.502,1.502,225,220,209,213,219,585.14286,48459.28571,187,158,41837,492,35.11529,0.42414,220,209,203,30.31633,0.35667,225,1,131.34,111.85,168.03,139.72,339215,4096,-17.6098688908428,-23.1231231231231,750933,9424,-25.9161663177543,-28.0006112002445,245.807,2.968,544.153,6.829,0.869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Ireland",1784,370.6,1.08,0,0,0,0,0,0,0,0,98.77,0,0,0.05,0,0,0,0,0.1,0.1,0,0,0,0,700,5,58767,1890,141.764,1.013,11901.464,382.762,227,218,237,230,3.216,3.216,227,225,215,215,215,3.57143,930.14286,231,218,886.33333,2.66667,188.37229,0.72357,224,212,230,179.5,0.54033,NA,0,44.91,41.32,490.23,364.38,6511,25,-19.5875015437816,-28.5714285714286,14608,60,73.5122936215703,122.222222222222,1318.604,5.063,2958.405,12.151,0.442,97,19.467,471,94.523,13.048,2.619,357.324,71.71,1,1,1,0,2,0,3,NA,NA,0,2,44.44,3,1,2,2,NA,2,60.12,3,5,NA,3590079,14244,727.061,2.885,"tests performed",16.1,0.062,352,1,352,14848,3.007,24.9,0.04,5.4,10.9,6.2,9.5
"19","Israel",3872,NA,0,0,0,0,0,0,0,0,0,98.18,0,0,0,0,0,0,0,1.82,1.82,0,0,0,0,1173,30,312024,2483,135.52,3.466,36049.047,286.868,228,216,240,221,0.796,0.796,231,227,208,208,215,29.28571,788.71429,231,215,870.33333,37,91.12243,3.38343,226,204,221,100.55233,4.27467,228,1,247.46,271.78,45.47,56.31,5521,205,-40.1777007259725,-8.07174887892377,14750,428,-75.5584277855107,-18.7855787476281,637.857,23.684,1704.111,49.448,1.153,142,16.155,285,32.424,NA,NA,NA,NA,2,2,2,0,2,0,4,NA,NA,0,2,56.48,3,0,2,1,NA,2,63.69,2,5,NA,13369575,92177,1544.626,10.649,"tests performed",16.9,0.059,379,1,379,73795,8.526,20.1,0.05,NA,NA,NA,NA
"20","Italy",86011,1420.5,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,21989,221,564778,37700,363.684,3.655,9341.067,623.534,247,246,248,245,6.675,6.675,248,248,239,245,246,142.14286,18618.42857,243,239,20089.66667,163.33333,307.937,2.35071,246,239,246,332.27033,2.70133,247,1,18.43,18.49,158.95,181.4,130329,995,88.9318952770288,116.77559912854,199311,1454,279.958441360378,291.913746630728,2155.558,16.457,3296.477,24.048,2.561,341,5.649,2814,46.615,NA,NA,965.613,15.996,2,3,2,1,2,2,3,NA,NA,0,2,71.3,1,2,1,2,NA,3,78.87,3,5,3,41338022,339635,683.704,5.617,"tests performed",13.7,0.073,375,1,375,301516,4.987,16.2,0.062,15.3,21.4,18.3,18.3
"21","Japan",10205,80.5,8.16,0,0,0,0,0,0,0,0,91.84,0,0,0,0,0,0,0,0,0,0,0,0,0,618,5,98116,1730,4.886,0.04,775.765,13.678,249,241,248,230,1.763,1.763,237,235,196,219,231,7.28571,597.57143,209,188,527.33333,6.33333,4.72486,0.05757,234,196,230,4.16933,0.05,249,1,127.92,111.37,188.3,162.15,4183,51,10.2820986026892,24.390243902439,7976,92,11.8653576437588,24.3243243243243,33.073,0.403,63.063,0.727,1.382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Lithuania",366,129.4,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,413,5,11362,141,151.71,1.837,4173.69,51.795,220,214,231,221,1.241,1.241,220,216,NA,199,205,3.28571,490.57143,224,217,594.66667,4,180.20529,1.20714,216,NA,221,218.44333,1.46967,NA,0,12.17,13.48,23.38,27.25,3434,23,119.846350832266,91.6666666666667,4996,35,179.418344519016,150,1261.438,8.449,1835.219,12.857,2.25,NA,NA,1720,639.438,NA,NA,NA,NA,0,1,0,0,2,0,2,NA,NA,0,2,25.93,2,0,NA,NA,NA,3,44.05,2,5,NA,2106686,8209,773.865,3.015,"tests performed",10.8,0.093,343,8,343,6877,2.526,13,0.077,NA,NA,NA,NA
"23","Malaysia",4010,126.8,0,0,0,0,0,0,0,0,0,98.44,0,0,0,0,0,0,0,1.56,1.56,0,0,0,0,835,2,28640,238,25.799,0.062,884.879,7.353,232,219,238,220,0.831,0.831,235,226,4,219,219,6.42857,916.42857,226,214,966,5.66667,28.31457,0.19843,226,4,220,29.84633,0.175,232,1,19.49,19.13,28.06,23.15,6415,45,20.0187090739008,50,11760,75,104.699738903394,158.620689655172,198.202,1.39,363.344,2.317,1.269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Malta",550,NA,1.67,0,0,0,0,0,0,0,0,98.33,0,0,0,0,0,0,0,0,0,0,0,0,0,312,5,5685,55,706.619,11.324,12875.42,124.564,218,175,235,201,0.967,0.967,203,203,NA,0,37,1.28571,116.28571,233,201,104,1.66667,263.36443,2.91186,79,NA,201,235.53967,3.77467,NA,0,36.84,31.4,21.82,27.15,814,9,-12.847965738758,350,1748,11,93.7915742793792,10,1843.552,20.383,3958.88,24.913,1.485,NA,NA,NA,NA,NA,NA,7,13.604,1,1,1,0,2,0,3,NA,NA,NA,2,43.52,4,0,2,1,NA,3,57.14,3,5,NA,713482,4146,1615.898,9.39,"tests performed",30.3,0.033,377,1,377,3644,8.253,13.7,0.073,NA,NA,NA,NA
"25","Netherlands",6000,350.2,0.49,0,0,0,0,0,0,0,0,99.51,0,0,0,0,0,0,0,0,0,0,0,0,0,10283,70,311532,7132,600.121,4.085,18181.168,416.227,235,230,239,233,2.289,2.289,236,234,224,227,227,46.85714,9632.71429,235,226,10267,41,562.17,2.73457,233,224,233,599.18733,2.39267,235,1,19.97,19.89,119.53,103.06,67429,328,21.6229865983658,80.2197802197802,122870,510,72.4684876898459,114.285714285714,3935.191,19.142,7170.756,29.764,0.711,185,10.773,563,32.784,108.518,6.319,576.133,33.549,1,2,2,1,2,0,3,NA,NA,0,2,45.37,0,0,2,0,NA,3,58.93,2,5,3,6746573,NA,393.733,NA,"people tested",6.1,0.164,51,5,51,24677,1.44,11.8,0.085,5.7,11.2,6.7,16.4
