"","share_of_people_who_disagree_vaccines_are_important_for_children_to_have","share_of_people_who_agree_vaccines_are_safe","share_of_people_who_disagree_vaccines_are_safe","share_of_people_who_agree_vaccines_are_effective","share_of_people_who_disagree_vaccines_are_effective","share_of_people_who_agree_vaccines_are_important_for_children_to_have","all_causes_disability_adjusted_life_years_who_2015","share_of_population_covered_by_health_insurance_ilo_2014","current_health_expenditure_per_capita_ppp_current_international","health_expenditure_per_capita_ppp_world_bank_2016","haq_index_ihme_2017","beds_in_for_profit_privately_owned_hospitals_per_1_000_population_oecd","beds_in_not_for_profit_privately_owned_hospitals_per_1_000_population_oecd","beds_in_publicly_owned_hospitals_per_1_000_population_oecd","acute_care_beds_per_1_000_population_oecd","dentists_per_100_000_population_oecd","for_profit_privately_owned_hospitals_per_million_population_oecd","general_hospitals_per_million_population_oecd","hospitals_per_million_population_oecd","long_term_care_beds_per_1_000_population_oecd","long_term_care_beds_per_1_000_population_aged_65_oecd","midwives_per_1_000_live_births_oecd","not_for_profit_privately_owned_hospitals_per_million_population_oecd","nurses_per_1_000_population_oecd","physicians_per_1_000_population_oecd","psychiatric_care_beds_per_1_000_population_oecd","psychiatrists_per_1_000_population_oecd","publicly_owned_hospitals_per_million_population_oecd","surgical_specialists_per_1_000_population_oecd","hospital_beds_per_1_000_population_oecd","healthy_life_expectancy_ihme","life_expectancy_ihme","years_lived_with_disability_ihme","public_expenditure_on_health_per_capita_in_developing_countries_ppp_world_bank_wdi_2017","out_of_pocket_expenditure_per_capita_on_healthcare_ppp_usd_who_global_health_expenditure","public_expenditure_on_health_percent_gdp_owid_extrapolated_series","total_gross_official_disbursements_for_medical_research_and_basic_heath_sectors","bcg_immunization_coverage_among_1_year_olds_who_2017","hepatitis_b_hep_b3_immunization_coverage_among_1_year_olds_who_2017","dtp3_immunization_coverage_among_1_year_olds_who_2017","polio_pol3_immunization_coverage_among_1_year_olds_who_2017","measles_mcv_immunization_coverage_among_1_year_olds_who_2017","number_of_confirmed_tetanus_cases_who_2017","number_confirmed_polio_cases_who_2017","number_of_confirmed_pertussis_cases_who_2017","number_of_confirmed_measles_cases_who_2017","number_of_confirmed_diphtheria_cases_who_2017","estimated_deaths_due_to_tuberculosis_per_100_000_population_excluding_hiv_who_2017","estimated_number_of_deaths_due_to_tuberculosis_excluding_hiv_who_2017"
"haq_index_ihme_2017",0.34,-0.39,0.02,-0.26,-0.23,-0.46,-0.87,0.76,0.78,0.76,1,-0.07,0.36,-0.21,0.02,-0.09,-0.47,-0.39,-0.4,-0.3,-0.21,0.03,0.46,0.32,0.01,0.09,0.52,-0.43,0.27,0.5,0.91,0.93,0.85,0.8,0.71,0.48,-0.27,-0.05,0.37,0.47,0.5,0.5,-0.23,-0.11,0.15,-0.11,-0.14,-0.63,-0.17
"beds_in_for_profit_privately_owned_hospitals_per_1_000_population_oecd",0.09,0.06,-0.05,0.05,-0.01,-0.06,0.09,-0.02,-0.03,-0.01,-0.07,1,0.25,0.13,0.44,-0.08,0.5,0.39,0.4,0.12,0.07,-0.02,0.23,-0.08,0.05,0.37,0.02,-0.03,0.24,0.26,-0.06,-0.07,-0.07,-0.19,-0.04,-0.13,0.33,-0.14,0.01,-0.01,-0.01,-0.03,0.22,0.08,0.21,0.23,0.13,0.13,0.17
"beds_in_not_for_profit_privately_owned_hospitals_per_1_000_population_oecd",0.27,-0.16,0.24,-0.02,0.05,-0.15,-0.23,0.25,0.62,0.64,0.36,0.25,1,-0.45,0.1,-0.23,0.07,-0.21,-0.07,-0.34,-0.36,-0.03,0.84,0.44,0.05,0.27,0.45,-0.53,-0.07,0.23,0.28,0.29,0.3,0.27,0.44,0.37,0.06,-0.39,0.03,0.1,0.11,0.1,-0.04,-0.01,0.34,-0.01,-0.02,-0.14,-0.02
"beds_in_publicly_owned_hospitals_per_1_000_population_oecd",0.1,-0.23,-0.03,-0.35,0,-0.31,0.17,-0.09,-0.43,-0.44,-0.21,0.13,-0.45,1,0.66,0.31,-0.12,0.2,0.16,0.54,0.61,-0.13,-0.4,-0.25,0.21,0.46,-0.09,0.52,0.43,0.46,-0.24,-0.25,-0.25,-0.25,-0.25,-0.27,0.02,0.45,0.16,0.1,0.11,0.1,0.04,0,-0.28,0.09,0.01,0.1,0.03
"acute_care_beds_per_1_000_population_oecd",0.25,-0.36,0.05,-0.38,0,-0.43,0.01,0.08,-0.06,-0.06,0.02,0.44,0.1,0.66,1,0.14,-0.04,0.3,0.27,0.5,0.47,-0.13,0.08,-0.03,0.22,0.84,0.07,0.12,0.55,0.76,-0.03,-0.03,-0.04,-0.06,-0.03,-0.04,0.12,0.22,0.24,0.17,0.19,0.16,0.06,0.01,-0.05,0.12,0.01,0.02,0.04
"dentists_per_100_000_population_oecd",-0.11,-0.19,0.1,-0.14,-0.07,-0.05,0.02,-0.06,-0.2,-0.22,-0.09,-0.08,-0.23,0.31,0.14,1,-0.24,-0.09,-0.16,0.08,0.11,-0.06,-0.25,0.1,0.44,0.13,0.05,0.08,0.27,0.08,-0.08,-0.08,-0.09,-0.02,-0.1,-0.04,-0.23,0.07,-0.03,0,0,0.02,-0.11,-0.03,-0.36,-0.07,-0.05,-0.05,-0.08
"for_profit_privately_owned_hospitals_per_million_population_oecd",-0.22,0.36,-0.15,0.28,0.08,0.29,0.4,-0.39,-0.35,-0.33,-0.47,0.5,0.07,-0.12,-0.04,-0.24,1,0.59,0.78,0.2,0.08,0.04,-0.07,-0.15,-0.06,0.04,-0.23,0.28,-0.25,-0.29,-0.39,-0.41,-0.41,-0.59,-0.29,-0.31,0.45,-0.1,-0.25,-0.3,-0.3,-0.29,0.27,0.11,0.21,0.17,0.19,0.37,0.22
"general_hospitals_per_million_population_oecd",-0.26,0.23,-0.25,0.17,-0.06,0.12,0.36,-0.32,-0.32,-0.32,-0.39,0.39,-0.21,0.2,0.3,-0.09,0.59,1,0.85,0.53,0.36,0.1,-0.13,-0.03,0.03,0.33,-0.27,0.57,-0.08,0.03,-0.35,-0.35,-0.34,-0.51,-0.3,-0.3,0.55,-0.01,-0.22,-0.23,-0.22,-0.24,0.35,0.13,0.16,0.2,0.21,0.36,0.25
"hospitals_per_million_population_oecd",-0.09,0.09,-0.06,0.03,0.13,0.02,0.39,-0.35,-0.28,-0.27,-0.4,0.4,-0.07,0.16,0.27,-0.16,0.78,0.85,1,0.42,0.25,-0.01,-0.02,-0.01,-0.01,0.35,-0.09,0.59,-0.07,0.02,-0.37,-0.38,-0.38,-0.57,-0.26,-0.22,0.57,-0.03,-0.25,-0.27,-0.26,-0.27,0.29,0.12,0.18,0.16,0.17,0.38,0.22
"long_term_care_beds_per_1_000_population_oecd",-0.14,-0.07,-0.16,-0.18,-0.02,-0.12,0.23,-0.19,-0.46,-0.46,-0.3,0.12,-0.34,0.54,0.5,0.08,0.2,0.53,0.42,1,0.95,-0.13,-0.37,-0.28,0.03,0.52,-0.38,0.27,0.18,0.32,-0.26,-0.27,-0.3,-0.32,-0.38,-0.27,0.14,0.3,0.03,-0.03,-0.01,-0.01,0.12,0.02,-0.14,0.1,0.05,0.17,0.07
"long_term_care_beds_per_1_000_population_aged_65_oecd",-0.14,-0.09,-0.18,-0.19,-0.11,-0.15,0.13,-0.11,-0.42,-0.41,-0.21,0.07,-0.36,0.61,0.47,0.11,0.08,0.36,0.25,0.95,1,-0.14,-0.38,-0.28,0.03,0.45,-0.33,0.23,0.23,0.35,-0.17,-0.18,-0.21,-0.21,-0.32,-0.26,0.06,0.37,0.13,0.06,0.09,0.09,0.08,0,-0.14,0.11,0.04,0.08,0.06
"midwives_per_1_000_live_births_oecd",-0.33,0.26,-0.15,0.38,-0.24,0.33,-0.03,0,0.04,-0.02,0.03,-0.02,-0.03,-0.13,-0.13,-0.06,0.04,0.1,-0.01,-0.13,-0.14,1,-0.02,0.34,0.15,-0.14,0.02,0.06,-0.16,-0.17,0.05,0.06,0.06,0.05,0.04,-0.04,0.02,-0.01,0.03,0.03,0.02,0.02,-0.02,0.02,-0.14,-0.04,0.03,-0.03,0
"not_for_profit_privately_owned_hospitals_per_million_population_oecd",0.29,-0.17,0.2,-0.02,0.03,-0.2,-0.3,0.33,0.76,0.77,0.46,0.23,0.84,-0.4,0.08,-0.25,-0.07,-0.13,-0.02,-0.37,-0.38,-0.02,1,0.56,-0.02,0.25,0.56,-0.41,-0.01,0.27,0.36,0.37,0.39,0.34,0.49,0.43,0.13,-0.44,0.03,0.15,0.17,0.13,-0.02,0,0.36,-0.01,0.01,-0.17,0
"nurses_per_1_000_population_oecd",-0.07,-0.01,0.11,0.27,-0.17,0.12,-0.21,0.16,0.58,0.58,0.32,-0.08,0.44,-0.25,-0.03,0.1,-0.15,-0.03,-0.01,-0.28,-0.28,0.34,0.56,1,0.37,0.11,0.55,-0.04,0.04,0.08,0.25,0.26,0.29,0.21,0.36,0.34,0.03,-0.24,0.04,0.15,0.15,0.13,-0.08,-0.02,0.1,-0.11,-0.02,-0.16,-0.05
"physicians_per_1_000_population_oecd",0.02,-0.19,0.21,-0.05,-0.05,-0.07,0.04,-0.01,-0.01,-0.03,0.01,0.05,0.05,0.21,0.22,0.44,-0.06,0.03,-0.01,0.03,0.03,0.15,-0.02,0.37,1,0.3,0.3,0.05,0.44,0.17,-0.04,-0.05,-0.09,-0.04,0.09,0.06,-0.06,-0.19,-0.08,-0.06,-0.05,-0.06,-0.05,-0.01,-0.21,-0.03,-0.01,0.01,-0.04
"psychiatric_care_beds_per_1_000_population_oecd",0.23,-0.44,0.12,-0.43,0.04,-0.46,-0.05,0.12,0.07,0.07,0.09,0.37,0.27,0.46,0.84,0.13,0.04,0.33,0.35,0.52,0.45,-0.14,0.25,0.11,0.3,1,0.21,0.04,0.41,0.74,0.04,0.04,0.01,-0.04,0.08,0.03,0.14,0.03,0.13,0.12,0.16,0.13,0.07,0,0,0.1,0.02,-0.01,0.03
"psychiatrists_per_1_000_population_oecd",0.34,-0.34,0.28,-0.13,-0.03,-0.33,-0.36,0.36,0.68,0.64,0.52,0.02,0.45,-0.09,0.07,0.05,-0.23,-0.27,-0.09,-0.38,-0.33,0.02,0.56,0.55,0.3,0.21,1,-0.12,0.4,0.31,0.4,0.41,0.41,0.37,0.67,0.42,-0.05,-0.26,0.11,0.21,0.22,0.19,-0.13,-0.05,0.12,-0.11,-0.07,-0.26,-0.09
"publicly_owned_hospitals_per_million_population_oecd",-0.16,0.09,-0.06,0.02,0.06,0.08,0.37,-0.36,-0.47,-0.47,-0.43,-0.03,-0.53,0.52,0.12,0.08,0.28,0.57,0.59,0.27,0.23,0.06,-0.41,-0.04,0.05,0.04,-0.12,1,0.01,-0.12,-0.4,-0.41,-0.41,-0.52,-0.34,-0.31,0.29,0.28,-0.13,-0.14,-0.15,-0.17,0.18,0.08,-0.11,0.1,0.1,0.29,0.12
"surgical_specialists_per_1_000_population_oecd",0.23,-0.29,0,-0.26,-0.16,-0.37,-0.22,0.23,0.11,0.09,0.27,0.24,-0.07,0.43,0.55,0.27,-0.25,-0.08,-0.07,0.18,0.23,-0.16,-0.01,0.04,0.44,0.41,0.4,0.01,1,0.53,0.21,0.21,0.15,0.17,0.22,0.14,-0.12,0.05,0.29,0.27,0.28,0.25,-0.1,-0.06,-0.1,-0.02,-0.06,-0.2,-0.07
"hospital_beds_per_1_000_population_oecd",0.51,-0.67,0.22,-0.59,-0.02,-0.73,-0.39,0.45,0.35,0.35,0.5,0.26,0.23,0.46,0.76,0.08,-0.29,0.03,0.02,0.32,0.35,-0.17,0.27,0.08,0.17,0.74,0.31,-0.12,0.53,1,0.39,0.39,0.34,0.36,0.35,0.25,-0.12,0.16,0.34,0.36,0.39,0.37,-0.21,-0.1,0,-0.08,-0.18,-0.32,-0.19
"healthy_life_expectancy_ihme",0.21,-0.27,-0.06,-0.18,-0.27,-0.33,-0.94,0.68,0.66,0.65,0.91,-0.06,0.28,-0.24,-0.03,-0.08,-0.39,-0.35,-0.37,-0.26,-0.17,0.05,0.36,0.25,-0.04,0.04,0.4,-0.4,0.21,0.39,1,1,0.82,0.73,0.64,0.39,-0.3,0.06,0.44,0.53,0.55,0.57,-0.16,-0.08,0.13,-0.08,-0.1,-0.64,-0.12
"life_expectancy_ihme",0.22,-0.27,-0.06,-0.18,-0.27,-0.33,-0.93,0.69,0.68,0.66,0.93,-0.07,0.29,-0.25,-0.03,-0.08,-0.41,-0.35,-0.38,-0.27,-0.18,0.06,0.37,0.26,-0.05,0.04,0.41,-0.41,0.21,0.39,1,1,0.87,0.74,0.65,0.4,-0.29,0.04,0.43,0.52,0.54,0.55,-0.15,-0.07,0.14,-0.09,-0.09,-0.64,-0.11
"years_lived_with_disability_ihme",0.23,-0.23,-0.08,-0.15,-0.24,-0.31,-0.78,0.64,0.69,0.67,0.85,-0.07,0.3,-0.25,-0.04,-0.09,-0.41,-0.34,-0.38,-0.3,-0.21,0.06,0.39,0.29,-0.09,0.01,0.41,-0.41,0.15,0.34,0.82,0.87,1,0.71,0.6,0.34,-0.2,-0.03,0.31,0.4,0.4,0.4,-0.11,-0.04,0.19,-0.14,-0.06,-0.55,-0.05
"public_expenditure_on_health_per_capita_in_developing_countries_ppp_world_bank_wdi_2017",0.31,-0.33,0.07,-0.23,-0.14,-0.36,-0.68,0.69,0.67,0.66,0.8,-0.19,0.27,-0.25,-0.06,-0.02,-0.59,-0.51,-0.57,-0.32,-0.21,0.05,0.34,0.21,-0.04,-0.04,0.37,-0.52,0.17,0.36,0.73,0.74,0.71,1,0.59,0.58,-0.36,-0.05,0.24,0.32,0.33,0.35,-0.25,-0.1,0.08,-0.16,-0.14,-0.53,-0.18
"out_of_pocket_expenditure_per_capita_on_healthcare_ppp_usd_who_global_health_expenditure",0.38,-0.32,0.08,-0.17,-0.15,-0.4,-0.57,0.52,0.79,0.72,0.71,-0.04,0.44,-0.25,-0.03,-0.1,-0.29,-0.3,-0.26,-0.38,-0.32,0.04,0.49,0.36,0.09,0.08,0.67,-0.34,0.22,0.35,0.64,0.65,0.6,0.59,1,0.31,-0.17,-0.19,0.21,0.29,0.31,0.3,-0.14,-0.06,0.21,-0.1,-0.08,-0.43,-0.1
"public_expenditure_on_health_percent_gdp_owid_extrapolated_series",0.24,-0.24,0.17,-0.12,-0.01,-0.22,-0.37,0.39,0.53,0.53,0.48,-0.13,0.37,-0.27,-0.04,-0.04,-0.31,-0.3,-0.22,-0.27,-0.26,-0.04,0.43,0.34,0.06,0.03,0.42,-0.31,0.14,0.25,0.39,0.4,0.34,0.58,0.31,1,-0.18,-0.12,0.15,0.25,0.24,0.26,-0.22,-0.11,0.12,-0.15,-0.13,-0.27,-0.17
"total_gross_official_disbursements_for_medical_research_and_basic_heath_sectors",-0.12,0.27,-0.19,0.16,0.16,0.13,0.38,-0.3,-0.11,-0.1,-0.27,0.33,0.06,0.02,0.12,-0.23,0.45,0.55,0.57,0.14,0.06,0.02,0.13,0.03,-0.06,0.14,-0.05,0.29,-0.12,-0.12,-0.3,-0.29,-0.2,-0.36,-0.17,-0.18,1,-0.2,-0.22,-0.22,-0.24,-0.26,0.39,0.19,0.33,0.34,0.27,0.5,0.55
"bcg_immunization_coverage_among_1_year_olds_who_2017",-0.06,0.02,-0.12,-0.04,-0.14,-0.01,-0.13,-0.03,-0.29,-0.3,-0.05,-0.14,-0.39,0.45,0.22,0.07,-0.1,-0.01,-0.03,0.3,0.37,-0.01,-0.44,-0.24,-0.19,0.03,-0.26,0.28,0.05,0.16,0.06,0.04,-0.03,-0.05,-0.19,-0.12,-0.2,1,0.63,0.53,0.51,0.49,-0.04,-0.03,-0.2,-0.03,-0.07,-0.12,-0.05
"hepatitis_b_hep_b3_immunization_coverage_among_1_year_olds_who_2017",0.03,-0.06,-0.14,-0.04,-0.31,-0.12,-0.46,0.29,0.2,0.19,0.37,0.01,0.03,0.16,0.24,-0.03,-0.25,-0.22,-0.25,0.03,0.13,0.03,0.03,0.04,-0.08,0.13,0.11,-0.13,0.29,0.34,0.44,0.43,0.31,0.24,0.21,0.15,-0.22,0.63,1,0.95,0.92,0.86,-0.11,-0.1,-0.01,-0.02,-0.06,-0.34,-0.07
"dtp3_immunization_coverage_among_1_year_olds_who_2017",0.07,-0.09,-0.11,-0.03,-0.34,-0.15,-0.54,0.37,0.33,0.32,0.47,-0.01,0.1,0.1,0.17,0,-0.3,-0.23,-0.27,-0.03,0.06,0.03,0.15,0.15,-0.06,0.12,0.21,-0.14,0.27,0.36,0.53,0.52,0.4,0.32,0.29,0.25,-0.22,0.53,0.95,1,0.97,0.9,-0.13,-0.11,0.02,-0.03,-0.07,-0.39,-0.09
"polio_pol3_immunization_coverage_among_1_year_olds_who_2017",0.08,-0.13,-0.09,-0.06,-0.34,-0.18,-0.57,0.41,0.34,0.33,0.5,-0.01,0.11,0.11,0.19,0,-0.3,-0.22,-0.26,-0.01,0.09,0.02,0.17,0.15,-0.05,0.16,0.22,-0.15,0.28,0.39,0.55,0.54,0.4,0.33,0.31,0.24,-0.24,0.51,0.92,0.97,1,0.91,-0.1,-0.12,0.02,-0.04,-0.07,-0.42,-0.1
"measles_mcv_immunization_coverage_among_1_year_olds_who_2017",0.05,-0.11,-0.14,-0.07,-0.33,-0.15,-0.58,0.41,0.32,0.3,0.5,-0.03,0.1,0.1,0.16,0.02,-0.29,-0.24,-0.27,-0.01,0.09,0.02,0.13,0.13,-0.06,0.13,0.19,-0.17,0.25,0.37,0.57,0.55,0.4,0.35,0.3,0.26,-0.26,0.49,0.86,0.9,0.91,1,-0.13,-0.17,0.03,-0.04,-0.1,-0.46,-0.1
"number_of_confirmed_tetanus_cases_who_2017",-0.11,0.21,-0.16,0.1,0.05,0.12,0.15,-0.21,-0.16,-0.15,-0.23,0.22,-0.04,0.04,0.06,-0.11,0.27,0.35,0.29,0.12,0.08,-0.02,-0.02,-0.08,-0.05,0.07,-0.13,0.18,-0.1,-0.21,-0.16,-0.15,-0.11,-0.25,-0.14,-0.22,0.39,-0.04,-0.11,-0.13,-0.1,-0.13,1,0.17,0.39,0.41,0.59,0.19,0.7
"number_confirmed_polio_cases_who_2017",-0.04,0.09,-0.09,0.06,-0.02,0.02,0.06,-0.09,-0.07,-0.06,-0.11,0.08,-0.01,0,0.01,-0.03,0.11,0.13,0.12,0.02,0,0.02,0,-0.02,-0.01,0,-0.05,0.08,-0.06,-0.1,-0.08,-0.07,-0.04,-0.1,-0.06,-0.11,0.19,-0.03,-0.1,-0.11,-0.12,-0.17,0.17,1,-0.01,0.01,-0.01,0.08,0.11
"number_of_confirmed_pertussis_cases_who_2017",0.11,0.04,-0.06,0.08,-0.07,-0.06,-0.11,0.1,0.35,0.36,0.15,0.21,0.34,-0.28,-0.05,-0.36,0.21,0.16,0.18,-0.14,-0.14,-0.14,0.36,0.1,-0.21,0,0.12,-0.11,-0.1,0,0.13,0.14,0.19,0.08,0.21,0.12,0.33,-0.2,-0.01,0.02,0.02,0.03,0.39,-0.01,1,0.34,0.45,-0.01,0.55
"number_of_confirmed_measles_cases_who_2017",-0.05,0.12,-0.11,0.07,-0.04,0.06,0.07,-0.04,-0.13,-0.12,-0.11,0.23,-0.01,0.09,0.12,-0.07,0.17,0.2,0.16,0.1,0.11,-0.04,-0.01,-0.11,-0.03,0.1,-0.11,0.1,-0.02,-0.08,-0.08,-0.09,-0.14,-0.16,-0.1,-0.15,0.34,-0.03,-0.02,-0.03,-0.04,-0.04,0.41,0.01,0.34,1,0.35,0.16,0.52
"number_of_confirmed_diphtheria_cases_who_2017",-0.08,0.15,-0.11,0.13,-0.09,0.09,0.05,-0.15,-0.09,-0.08,-0.14,0.13,-0.02,0.01,0.01,-0.05,0.19,0.21,0.17,0.05,0.04,0.03,0.01,-0.02,-0.01,0.02,-0.07,0.1,-0.06,-0.18,-0.1,-0.09,-0.06,-0.14,-0.08,-0.13,0.27,-0.07,-0.06,-0.07,-0.07,-0.1,0.59,-0.01,0.45,0.35,1,0.17,0.77
"estimated_deaths_due_to_tuberculosis_per_100_000_population_excluding_hiv_who_2017",-0.17,0.29,-0.03,0.14,0.33,0.27,0.68,-0.5,-0.41,-0.4,-0.63,0.13,-0.14,0.1,0.02,-0.05,0.37,0.36,0.38,0.17,0.08,-0.03,-0.17,-0.16,0.01,-0.01,-0.26,0.29,-0.2,-0.32,-0.64,-0.64,-0.55,-0.53,-0.43,-0.27,0.5,-0.12,-0.34,-0.39,-0.42,-0.46,0.19,0.08,-0.01,0.16,0.17,1,0.29
