Entity,Code,Day,p_avg_all_ages,143222-annotations
Australia,AUS,2020-08-16,-0.06,
Australia,AUS,2020-08-23,-6.29,
Australia,AUS,2020-08-30,-7.06,
Australia,AUS,2020-09-06,-4.46,
Australia,AUS,2020-09-13,-5,
Australia,AUS,2020-09-20,-6.85,
Australia,AUS,2020-09-27,-0.43,
Australia,AUS,2020-10-04,-0.84,
Australia,AUS,2020-10-11,-2.99,
Australia,AUS,2020-10-18,-2.5,
Australia,AUS,2020-10-25,-2.11,
Australia,AUS,2020-11-01,0.5,
Australia,AUS,2020-11-08,2.53,
Australia,AUS,2020-11-15,7.2,
Australia,AUS,2020-11-22,1.47,
Australia,AUS,2020-11-29,0.24,
Australia,AUS,2020-12-06,7.6,
Australia,AUS,2020-12-13,2.14,
Australia,AUS,2020-12-20,4.53,
Australia,AUS,2020-12-27,7.61,
Australia,AUS,2021-01-03,4.39,
Australia,AUS,2021-01-10,4.44,
Australia,AUS,2021-01-17,1.9,
Australia,AUS,2021-01-24,9.43,
Australia,AUS,2021-01-31,4.03,
Australia,AUS,2021-02-07,9.43,
Australia,AUS,2021-02-14,4.49,
Australia,AUS,2021-02-21,3.27,
Australia,AUS,2021-02-28,6.94,
Australia,AUS,2021-03-07,6.16,
Australia,AUS,2021-03-14,7.58,
Australia,AUS,2021-03-21,8.74,
Australia,AUS,2021-03-28,6.09,
Australia,AUS,2021-04-04,6.84,
Australia,AUS,2021-04-11,2.21,
Australia,AUS,2021-04-18,10.74,
Australia,AUS,2021-04-25,9.31,
Australia,AUS,2021-05-02,10.17,
Australia,AUS,2021-05-09,13.77,
Australia,AUS,2021-05-16,7.18,
Australia,AUS,2021-05-23,7.5,
Australia,AUS,2021-05-30,9.37,
Australia,AUS,2021-06-06,3,
Australia,AUS,2021-06-13,7.86,
Australia,AUS,2021-06-20,6.43,
Australia,AUS,2021-06-27,2.95,
Austria,AUT,2020-01-05,-10.78,
Austria,AUT,2020-01-12,-8.35,
Austria,AUT,2020-01-19,0.59,
Austria,AUT,2020-01-26,1.83,
Austria,AUT,2020-02-02,7.06,
Austria,AUT,2020-02-09,-8.43,
Austria,AUT,2020-02-16,-5.06,
Austria,AUT,2020-02-23,-5.65,
Austria,AUT,2020-03-01,-2.62,
Austria,AUT,2020-03-08,-0.55,
Austria,AUT,2020-03-15,0.39,
Austria,AUT,2020-03-22,14.89,
Austria,AUT,2020-03-29,7.24,
Austria,AUT,2020-04-05,15.3,
Austria,AUT,2020-04-12,15.96,
Austria,AUT,2020-04-19,11.86,
Austria,AUT,2020-04-26,8.01,
Austria,AUT,2020-05-03,1.05,
Austria,AUT,2020-05-10,5.6,
Austria,AUT,2020-05-17,1.78,
Austria,AUT,2020-05-24,4.18,
Austria,AUT,2020-05-31,0.25,
Austria,AUT,2020-06-07,5.49,
Austria,AUT,2020-06-14,1.22,
Austria,AUT,2020-06-21,0.38,
Austria,AUT,2020-06-28,2.73,
Austria,AUT,2020-07-05,8.77,
Austria,AUT,2020-07-12,0.41,
Austria,AUT,2020-07-19,-1.82,
Austria,AUT,2020-07-26,-2.47,
Austria,AUT,2020-08-02,1.48,
Austria,AUT,2020-08-09,0.48,
Austria,AUT,2020-08-16,10.02,
Austria,AUT,2020-08-23,3.01,
Austria,AUT,2020-08-30,5.13,
Austria,AUT,2020-09-06,10.59,
Austria,AUT,2020-09-13,10.05,
Austria,AUT,2020-09-20,10.26,
Austria,AUT,2020-09-27,4.1,
Austria,AUT,2020-10-04,5.07,
Austria,AUT,2020-10-11,6.91,
Austria,AUT,2020-10-18,7.56,
Austria,AUT,2020-10-25,17.96,
Austria,AUT,2020-11-01,25.31,
Austria,AUT,2020-11-08,32.9,
Austria,AUT,2020-11-15,47.32,
Austria,AUT,2020-11-22,56.96,
Austria,AUT,2020-11-29,57.94,
Austria,AUT,2020-12-06,59.08,
Austria,AUT,2020-12-13,54.28,
Austria,AUT,2020-12-20,36.91,
Austria,AUT,2020-12-27,22.81,
Austria,AUT,2021-01-03,15.49,
Austria,AUT,2021-01-10,8.46,
Austria,AUT,2021-01-17,5.49,
Austria,AUT,2021-01-24,12.46,
Austria,AUT,2021-01-31,11.62,
Austria,AUT,2021-02-07,2.72,
Austria,AUT,2021-02-14,-4.24,
Austria,AUT,2021-02-21,-5.01,
Austria,AUT,2021-02-28,-8.45,
Austria,AUT,2021-03-07,-12.48,
Austria,AUT,2021-03-14,-0.15,
Austria,AUT,2021-03-21,-1.02,
Austria,AUT,2021-03-28,3.82,
Austria,AUT,2021-04-04,7.97,
Austria,AUT,2021-04-11,4.96,
Austria,AUT,2021-04-18,9.82,
Austria,AUT,2021-04-25,11.07,
Austria,AUT,2021-05-02,15.56,
Austria,AUT,2021-05-09,13.34,
Austria,AUT,2021-05-16,11.64,
Austria,AUT,2021-05-23,4.17,
Austria,AUT,2021-05-30,4.88,
Austria,AUT,2021-06-06,13.76,
Austria,AUT,2021-06-13,10.8,
Austria,AUT,2021-06-20,11.2,
Austria,AUT,2021-06-27,17.5,
Austria,AUT,2021-07-04,7.87,
Austria,AUT,2021-07-11,2.36,
Austria,AUT,2021-07-18,6,
Austria,AUT,2021-07-25,7.77,
Austria,AUT,2021-08-01,2.9,
Austria,AUT,2021-08-08,-2.91,
Austria,AUT,2021-08-15,14.22,
Austria,AUT,2021-08-22,11.05,
Austria,AUT,2021-08-29,9.64,
Austria,AUT,2021-09-05,8.21,
Austria,AUT,2021-09-12,17.48,
Austria,AUT,2021-09-19,10.61,
Austria,AUT,2021-09-26,10.89,
Austria,AUT,2021-10-03,12.39,
Azerbaijan,AZE,2020-01-31,-3.74,
Azerbaijan,AZE,2020-02-29,-0.11,
Azerbaijan,AZE,2020-03-31,22.47,
Azerbaijan,AZE,2020-04-30,-9.94,
Azerbaijan,AZE,2020-05-31,-10.62,
Azerbaijan,AZE,2020-06-30,45.49,
Azerbaijan,AZE,2020-07-31,30.52,
Azerbaijan,AZE,2020-08-31,8.9,
Azerbaijan,AZE,2020-09-30,6.53,
Azerbaijan,AZE,2020-10-31,27.49,
Azerbaijan,AZE,2020-11-30,80.54,
Azerbaijan,AZE,2020-12-31,199.01,
Azerbaijan,AZE,2021-01-31,48.23,
Azerbaijan,AZE,2021-02-28,6.38,
Azerbaijan,AZE,2021-03-31,20.02,
Azerbaijan,AZE,2021-04-30,47.74,
Azerbaijan,AZE,2021-05-31,13.13,
Azerbaijan,AZE,2021-06-30,21.92,
Azerbaijan,AZE,2021-07-31,3.58,
Belarus,BLR,2020-01-31,-6.3,
Belarus,BLR,2020-02-29,-2.74,
Belarus,BLR,2020-03-31,-0.83,
Belarus,BLR,2020-04-30,6.33,
Belarus,BLR,2020-05-31,16.4,
Belarus,BLR,2020-06-30,39.56,
Belarus,BLR,2020-07-31,13.24,
Belarus,BLR,2020-08-31,12.63,
Belarus,BLR,2020-09-30,16.79,
Belarus,BLR,2020-10-31,22.22,
Belarus,BLR,2020-11-30,63.21,
Belarus,BLR,2020-12-31,72.45,
Belarus,BLR,2021-01-31,40.9,
Belarus,BLR,2021-02-28,26.9,
Belarus,BLR,2021-03-31,2.38,
Belgium,BEL,2020-01-05,-6.54,
Belgium,BEL,2020-01-12,-1.79,
Belgium,BEL,2020-01-19,-4.49,
Belgium,BEL,2020-01-26,-9.02,
Belgium,BEL,2020-02-02,-6.14,
Belgium,BEL,2020-02-09,-12.84,
Belgium,BEL,2020-02-16,-8.58,
Belgium,BEL,2020-02-23,-7.51,
Belgium,BEL,2020-03-01,-11.62,
Belgium,BEL,2020-03-08,-9.82,
Belgium,BEL,2020-03-15,-4.72,
Belgium,BEL,2020-03-22,9.98,
Belgium,BEL,2020-03-29,43.61,
Belgium,BEL,2020-04-05,89.71,
Belgium,BEL,2020-04-12,104.85,
Belgium,BEL,2020-04-19,80.51,
Belgium,BEL,2020-04-26,49.54,
Belgium,BEL,2020-05-03,20.71,
Belgium,BEL,2020-05-10,17.72,
Belgium,BEL,2020-05-17,3.07,
Belgium,BEL,2020-05-24,5.67,
Belgium,BEL,2020-05-31,2.67,
Belgium,BEL,2020-06-07,-4.21,
Belgium,BEL,2020-06-14,2.06,
Belgium,BEL,2020-06-21,-5.23,
Belgium,BEL,2020-06-28,3.74,
Belgium,BEL,2020-07-05,-12.61,
Belgium,BEL,2020-07-12,-9.66,
Belgium,BEL,2020-07-19,-2.4,
Belgium,BEL,2020-07-26,-9.31,
Belgium,BEL,2020-08-02,3.27,
Belgium,BEL,2020-08-09,9.1,
Belgium,BEL,2020-08-16,55.35,
Belgium,BEL,2020-08-23,16.47,
Belgium,BEL,2020-08-30,-1.52,
Belgium,BEL,2020-09-06,2.33,
Belgium,BEL,2020-09-13,-2.11,
Belgium,BEL,2020-09-20,6.44,
Belgium,BEL,2020-09-27,0.44,
Belgium,BEL,2020-10-04,-2.49,
Belgium,BEL,2020-10-11,1.98,
Belgium,BEL,2020-10-18,7.58,
Belgium,BEL,2020-10-25,31.99,
Belgium,BEL,2020-11-01,65.47,
Belgium,BEL,2020-11-08,83.84,
Belgium,BEL,2020-11-15,67.91,
Belgium,BEL,2020-11-22,51.04,
Belgium,BEL,2020-11-29,37.49,
Belgium,BEL,2020-12-06,24.92,
Belgium,BEL,2020-12-13,25.17,
Belgium,BEL,2020-12-20,21.3,
Belgium,BEL,2020-12-27,16.81,
Belgium,BEL,2021-01-03,9.13,
Belgium,BEL,2021-01-10,3.46,
Belgium,BEL,2021-01-17,-1.01,
Belgium,BEL,2021-01-24,0.71,
Belgium,BEL,2021-01-31,0.89,
Belgium,BEL,2021-02-07,-9.12,
Belgium,BEL,2021-02-14,-10.42,
Belgium,BEL,2021-02-21,-8.15,
Belgium,BEL,2021-02-28,-13.7,
Belgium,BEL,2021-03-07,-20.7,
Belgium,BEL,2021-03-14,-11.77,
Belgium,BEL,2021-03-21,-10.13,
Belgium,BEL,2021-03-28,-8.97,
Belgium,BEL,2021-04-04,-0.04,
Belgium,BEL,2021-04-11,4.45,
Belgium,BEL,2021-04-18,3.52,
Belgium,BEL,2021-04-25,8.17,
Belgium,BEL,2021-05-02,8.5,
Belgium,BEL,2021-05-09,12.56,
Belgium,BEL,2021-05-16,2.16,
Belgium,BEL,2021-05-23,2.21,
Belgium,BEL,2021-05-30,1.11,
Belgium,BEL,2021-06-06,2.67,
Belgium,BEL,2021-06-13,0,
Belgium,BEL,2021-06-20,5.5,
Belgium,BEL,2021-06-27,-7.42,
Belgium,BEL,2021-07-04,1.21,
Belgium,BEL,2021-07-11,-10.09,
Belgium,BEL,2021-07-18,2,
Belgium,BEL,2021-07-25,4.63,
Belgium,BEL,2021-08-01,-6.15,
Belgium,BEL,2021-08-08,-1.03,
Belgium,BEL,2021-08-15,0.09,
Belgium,BEL,2021-08-22,-1.52,
Belgium,BEL,2021-08-29,-2.99,
Belgium,BEL,2021-09-05,1.57,
Belgium,BEL,2021-09-12,7.47,
Belgium,BEL,2021-09-19,0.35,
Belgium,BEL,2021-09-26,-1.05,
Belgium,BEL,2021-10-03,-1.71,
Belize,BLZ,2020-01-31,7.49,
Belize,BLZ,2020-02-29,10.52,
Belize,BLZ,2020-03-31,-4.6,
Belize,BLZ,2020-04-30,-8.58,
Belize,BLZ,2020-05-31,1.82,
Belize,BLZ,2020-06-30,10.96,
Belize,BLZ,2020-07-31,3.17,
Belize,BLZ,2020-08-31,3.17,
Belize,BLZ,2020-09-30,-4.24,
Belize,BLZ,2020-10-31,20.69,
Belize,BLZ,2020-11-30,61.56,
Belize,BLZ,2020-12-31,61.01,
Bermuda,BMU,2020-01-31,-22,
Bermuda,BMU,2020-02-29,17.37,
Bermuda,BMU,2020-03-31,33.64,
Bermuda,BMU,2020-04-30,55.34,
Bermuda,BMU,2020-05-31,14.29,
Bermuda,BMU,2020-06-30,-12.56,
Bermuda,BMU,2020-07-31,-3.38,
Bermuda,BMU,2020-08-31,2.44,
Bermuda,BMU,2020-09-30,74.03,
Bermuda,BMU,2020-10-31,-19.12,
Bermuda,BMU,2020-11-30,15.38,
Bermuda,BMU,2020-12-31,8.17,
Bolivia,BOL,2020-01-31,9.47,
Bolivia,BOL,2020-02-29,12.17,
Bolivia,BOL,2020-03-31,9.17,
Bolivia,BOL,2020-04-30,-25.15,
Bolivia,BOL,2020-05-31,0.96,
Bolivia,BOL,2020-06-30,85.51,
Bolivia,BOL,2020-07-31,256.27,
Bolivia,BOL,2020-08-31,145.86,
Bolivia,BOL,2020-09-30,26.68,
Bolivia,BOL,2020-10-31,17.42,
Bolivia,BOL,2020-11-30,14.66,
Bolivia,BOL,2020-12-31,10.71,
Bolivia,BOL,2021-01-31,111.8,
Bolivia,BOL,2021-02-28,73.06,
Bolivia,BOL,2021-03-31,41.11,
Bolivia,BOL,2021-04-30,31.8,
Bolivia,BOL,2021-05-31,93.37,
Bolivia,BOL,2021-06-30,124.29,
Bolivia,BOL,2021-07-31,77.73,
Bosnia and Herzegovina,BIH,2020-01-31,-18.99,
Bosnia and Herzegovina,BIH,2020-02-29,-5.03,
Bosnia and Herzegovina,BIH,2020-03-31,-13.25,
Bosnia and Herzegovina,BIH,2020-04-30,4.51,
Bosnia and Herzegovina,BIH,2020-05-31,-3.87,
Bosnia and Herzegovina,BIH,2020-06-30,4.63,
Bosnia and Herzegovina,BIH,2020-07-31,6.96,
Bosnia and Herzegovina,BIH,2020-08-31,14.34,
Bosnia and Herzegovina,BIH,2020-09-30,26.83,
Bosnia and Herzegovina,BIH,2020-10-31,14.11,
Bosnia and Herzegovina,BIH,2020-11-30,80.72,
Bosnia and Herzegovina,BIH,2020-12-31,90.66,
Bosnia and Herzegovina,BIH,2021-01-31,-0.13,
Bosnia and Herzegovina,BIH,2021-02-28,2.41,
Bosnia and Herzegovina,BIH,2021-03-31,39.82,
Bosnia and Herzegovina,BIH,2021-04-30,97.19,
Bosnia and Herzegovina,BIH,2021-05-31,38.17,
Bosnia and Herzegovina,BIH,2021-06-30,16.08,
Brazil,BRA,2020-01-31,5.78,
Brazil,BRA,2020-02-29,10.1,
Brazil,BRA,2020-03-31,10.89,
Brazil,BRA,2020-04-30,16.05,
Brazil,BRA,2020-05-31,35.75,
Brazil,BRA,2020-06-30,23.89,
Brazil,BRA,2020-07-31,23.33,
Brazil,BRA,2020-08-31,26.43,
Brazil,BRA,2020-09-30,20.63,
Brazil,BRA,2020-10-31,20.58,
Brazil,BRA,2020-11-30,21.45,
Brazil,BRA,2020-12-31,30.25,
Brazil,BRA,2021-01-31,37.51,
Brazil,BRA,2021-02-28,39.91,
Brazil,BRA,2021-03-31,89.31,
Brazil,BRA,2021-04-30,88.87,
Brazil,BRA,2021-05-31,54.81,
Brazil,BRA,2021-06-30,55.1,
Brazil,BRA,2021-07-31,35.89,
Brazil,BRA,2021-08-31,31.32,
Bulgaria,BGR,2020-01-05,-18.32,
Bulgaria,BGR,2020-01-12,-11.47,
Bulgaria,BGR,2020-01-19,-13.59,
Bulgaria,BGR,2020-01-26,-4.59,
Bulgaria,BGR,2020-02-02,-0.89,
Bulgaria,BGR,2020-02-09,1.56,
Bulgaria,BGR,2020-02-16,0.67,
Bulgaria,BGR,2020-02-23,-5.58,
Bulgaria,BGR,2020-03-01,-4.27,
Bulgaria,BGR,2020-03-08,-9.64,
Bulgaria,BGR,2020-03-15,-5.85,
Bulgaria,BGR,2020-03-22,-5.46,
Bulgaria,BGR,2020-03-29,-2.88,
Bulgaria,BGR,2020-04-05,-4.24,
Bulgaria,BGR,2020-04-12,-2.15,
Bulgaria,BGR,2020-04-19,-2.04,
Bulgaria,BGR,2020-04-26,-3.51,
Bulgaria,BGR,2020-05-03,-6.06,
Bulgaria,BGR,2020-05-10,-5.74,
Bulgaria,BGR,2020-05-17,5.91,
Bulgaria,BGR,2020-05-24,-3.81,
Bulgaria,BGR,2020-05-31,-7.92,
Bulgaria,BGR,2020-06-07,0.14,
Bulgaria,BGR,2020-06-14,0.8,
Bulgaria,BGR,2020-06-21,-1.63,
Bulgaria,BGR,2020-06-28,-2.75,
Bulgaria,BGR,2020-07-05,12.6,
Bulgaria,BGR,2020-07-12,5.27,
Bulgaria,BGR,2020-07-19,-1.39,
Bulgaria,BGR,2020-07-26,0.72,
Bulgaria,BGR,2020-08-02,10.17,
Bulgaria,BGR,2020-08-09,6.49,
Bulgaria,BGR,2020-08-16,6.17,
Bulgaria,BGR,2020-08-23,4.26,
Bulgaria,BGR,2020-08-30,6.43,
Bulgaria,BGR,2020-09-06,7.28,
Bulgaria,BGR,2020-09-13,5.16,
Bulgaria,BGR,2020-09-20,2.02,
Bulgaria,BGR,2020-09-27,2.19,
Bulgaria,BGR,2020-10-04,1.95,
Bulgaria,BGR,2020-10-11,4.9,
Bulgaria,BGR,2020-10-18,4.82,
Bulgaria,BGR,2020-10-25,15.58,
Bulgaria,BGR,2020-11-01,30.91,
Bulgaria,BGR,2020-11-08,53.79,
Bulgaria,BGR,2020-11-15,85.81,
Bulgaria,BGR,2020-11-22,111.61,
Bulgaria,BGR,2020-11-29,125.45,
Bulgaria,BGR,2020-12-06,120.47,
Bulgaria,BGR,2020-12-13,99.11,
Bulgaria,BGR,2020-12-20,77.26,
Bulgaria,BGR,2020-12-27,37.57,
Bulgaria,BGR,2021-01-03,25.73,
Bulgaria,BGR,2021-01-10,1.18,
Bulgaria,BGR,2021-01-17,-3.82,
Bulgaria,BGR,2021-01-24,-0.42,
Bulgaria,BGR,2021-01-31,-2.36,
Bulgaria,BGR,2021-02-07,-3.41,
Bulgaria,BGR,2021-02-14,2.04,
Bulgaria,BGR,2021-02-21,7.77,
Bulgaria,BGR,2021-02-28,12.38,
Bulgaria,BGR,2021-03-07,20.46,
Bulgaria,BGR,2021-03-14,32.87,
Bulgaria,BGR,2021-03-21,53.4,
Bulgaria,BGR,2021-03-28,69.84,
Bulgaria,BGR,2021-04-04,88.17,
Bulgaria,BGR,2021-04-11,76.83,
Bulgaria,BGR,2021-04-18,79.36,
Bulgaria,BGR,2021-04-25,65.47,
Bulgaria,BGR,2021-05-02,52.17,
Bulgaria,BGR,2021-05-09,38.45,
Bulgaria,BGR,2021-05-16,25.01,
Bulgaria,BGR,2021-05-23,18.54,
Bulgaria,BGR,2021-05-30,9.57,
Bulgaria,BGR,2021-06-06,6.31,
Bulgaria,BGR,2021-06-13,6.34,
Bulgaria,BGR,2021-06-20,3.28,
Bulgaria,BGR,2021-06-27,15.34,
Bulgaria,BGR,2021-07-04,7.88,
Bulgaria,BGR,2021-07-11,9.07,
Bulgaria,BGR,2021-07-18,5.78,
Bulgaria,BGR,2021-07-25,1.34,
Bulgaria,BGR,2021-08-01,4.52,
Bulgaria,BGR,2021-08-08,11.85,
Bulgaria,BGR,2021-08-15,13.42,
Bulgaria,BGR,2021-08-22,9.29,
Bulgaria,BGR,2021-08-29,24.93,
Bulgaria,BGR,2021-09-05,32.42,
Bulgaria,BGR,2021-09-12,42.5,
Bulgaria,BGR,2021-09-19,55.81,
Bulgaria,BGR,2021-09-26,48.42,
Bulgaria,BGR,2021-10-03,52.96,
Canada,CAN,2020-01-05,1.94,
Canada,CAN,2020-01-12,1.79,
Canada,CAN,2020-01-19,1.69,
Canada,CAN,2020-01-26,4.37,
Canada,CAN,2020-02-02,1.19,
Canada,CAN,2020-02-09,2.68,
Canada,CAN,2020-02-16,-0.17,
Canada,CAN,2020-02-23,-0.6,
Canada,CAN,2020-03-01,2.43,
Canada,CAN,2020-03-08,2.76,
Canada,CAN,2020-03-15,2.71,
Canada,CAN,2020-03-22,6.58,
Canada,CAN,2020-03-29,8.71,
Canada,CAN,2020-04-05,17.2,
Canada,CAN,2020-04-12,23.02,
Canada,CAN,2020-04-19,25.38,
Canada,CAN,2020-04-26,32.03,
Canada,CAN,2020-05-03,30.32,
Canada,CAN,2020-05-10,24.78,
Canada,CAN,2020-05-17,21.14,
Canada,CAN,2020-05-24,17.55,
Canada,CAN,2020-05-31,19.51,
Canada,CAN,2020-06-07,12.7,
Canada,CAN,2020-06-14,6.33,
Canada,CAN,2020-06-21,8.81,
Canada,CAN,2020-06-28,8.81,
Canada,CAN,2020-07-05,5.2,
Canada,CAN,2020-07-12,11.31,
Canada,CAN,2020-07-19,10.26,
Canada,CAN,2020-07-26,8.42,
Canada,CAN,2020-08-02,9.39,
Canada,CAN,2020-08-09,8.27,
Canada,CAN,2020-08-16,12.05,
Canada,CAN,2020-08-23,12.47,
Canada,CAN,2020-08-30,7.5,
Canada,CAN,2020-09-06,10.84,
Canada,CAN,2020-09-13,7.76,
Canada,CAN,2020-09-20,10.51,
Canada,CAN,2020-09-27,13.31,
Canada,CAN,2020-10-04,10.03,
Canada,CAN,2020-10-11,11.31,
Canada,CAN,2020-10-18,8.83,
Canada,CAN,2020-10-25,9.34,
Canada,CAN,2020-11-01,11.02,
Canada,CAN,2020-11-08,18.25,
Canada,CAN,2020-11-15,15.92,
Canada,CAN,2020-11-22,15.69,
Canada,CAN,2020-11-29,17.18,
Canada,CAN,2020-12-06,20.46,
Canada,CAN,2020-12-13,20.86,
Canada,CAN,2020-12-20,16.26,
Canada,CAN,2020-12-27,17.51,
Canada,CAN,2021-01-03,18.65,
Canada,CAN,2021-01-10,9.03,
Canada,CAN,2021-01-17,8.36,
Canada,CAN,2021-01-24,8.48,
Canada,CAN,2021-01-31,9.03,
Canada,CAN,2021-02-07,8.29,
Canada,CAN,2021-02-14,2.51,
Canada,CAN,2021-02-21,1.92,
Canada,CAN,2021-02-28,0.81,
Canada,CAN,2021-03-07,1.99,
Canada,CAN,2021-03-14,-1.16,
Canada,CAN,2021-03-21,-2.44,
Canada,CAN,2021-03-28,-0.15,
Canada,CAN,2021-04-04,-0.07,
Canada,CAN,2021-04-11,4.17,
Canada,CAN,2021-04-18,2.69,
Canada,CAN,2021-04-25,4.58,
Canada,CAN,2021-05-02,9.07,
Canada,CAN,2021-05-09,7.16,
Canada,CAN,2021-05-16,8.23,
Canada,CAN,2021-05-23,10.34,
Canada,CAN,2021-05-30,2.07,
Canada,CAN,2021-06-06,8.84,
Canada,CAN,2021-06-13,1.54,
Canada,CAN,2021-06-20,3.78,
Canada,CAN,2021-06-27,-0.53,
Canada,CAN,2021-07-04,12.81,
Chile,CHL,2020-01-05,9.11,
Chile,CHL,2020-01-12,11.35,
Chile,CHL,2020-01-19,8.65,
Chile,CHL,2020-01-26,2.83,
Chile,CHL,2020-02-02,2.89,
Chile,CHL,2020-02-09,8.58,
Chile,CHL,2020-02-16,4.13,
Chile,CHL,2020-02-23,0.98,
Chile,CHL,2020-03-01,5.69,
Chile,CHL,2020-03-08,5.35,
Chile,CHL,2020-03-15,7.39,
Chile,CHL,2020-03-22,11.18,
Chile,CHL,2020-03-29,8.93,
Chile,CHL,2020-04-05,10.31,
