,Survey year,Infant mortality rate,,Under-five mortality rate,,Total fertility rate,,Teenage mothers,
Lao PDR,2017,56,19,63,23,4.1,2,..,..
Latvia,..,..,..,..,..,..,..,..,..
Lebanon,..,..,..,..,..,..,..,..,..
Lesotho,2018,65,64,83,80,4.2,1.8,28,6
Liberia,2020,67,52,102,61,6.2,2.8,42,10
Libya,..,..,..,..,..,..,..,..,..
Liechtenstein,..,..,..,..,..,..,..,..,..
Lithuania,..,..,..,..,..,..,..,..,..
Luxembourg,..,..,..,..,..,..,..,..,..
Madagascar,2009,61,37,106,48,5.5,3,53,20
Malawi,2016,47,43,83,60,5.1,2.8,43,17
Malaysia,..,..,..,..,..,..,..,..,..
Maldives,2017,11,21,15,21,2.5,1.7,3,2
Mali,2018,77,37,143,57,7.5,4.6,34,25
Malta,..,..,..,..,..,..,..,..,..
Marshall Islands,..,..,..,..,..,..,..,..,..
Mauritania,2015,49,30,72,38,7.3,3.7,..,..
Mauritius,..,..,..,..,..,..,..,..,..
Mexico,..,..,..,..,..,..,..,..,..
"Micronesia, Fed. Sts.",..,..,..,..,..,..,..,..,..
Moldova,..,..,..,..,..,..,..,..,..
Monaco,..,..,..,..,..,..,..,..,..
Mongolia,2018,20,13,26,17,4,3.3,..,..
Montenegro,..,..,..,..,..,..,..,..,..
Morocco,..,..,..,..,..,..,..,..,..
Mozambique,2011,83,64,129,91,7.2,2.7,64,21
Myanmar,2016,78,22,99,26,3.5,1.6,9,3
Namibia,2013,51,22,67,31,5.5,2.3,28,8
Nepal,2019,26,12,33,13,2.9,1.4,20,6
Netherlands,..,..,..,..,..,..,..,..,..
New Caledonia,..,..,..,..,..,..,..,..,..
New Zealand,..,..,..,..,..,..,..,..,..
Nicaragua,..,..,..,..,..,..,..,..,..
Niger,2012,64,52,144,114,8.2,6.1,49,24
Nigeria,2018,78,40,173,53,6.7,3.8,32,3
North Macedonia,..,..,..,..,..,2.9,1.7,..,..
Northern Mariana Islands,..,..,..,..,..,..,..,..,..
Norway,..,..,..,..,..,..,..,..,..
Oman,..,..,..,..,..,..,..,..,..
Pakistan,2018,76,53,100,56,4.9,2.8,10,5
Palau,..,..,..,..,..,..,..,..,..
Panama,..,..,..,..,..,..,..,..,..
Papua New Guinea,2018,47,27,69,36,5,3.2,16,6
Paraguay,2016,26,1,28,1,4.1,1.6,..,..
Peru,2012,27,14,36,14,4,1.7,26,3
Philippines,2017,31,9,42,11,4.3,1.7,15,3
Poland,..,..,..,..,..,..,..,..,..
Portugal,..,..,..,..,..,..,..,..,..
Puerto Rico,..,..,..,..,..,..,..,..,..
Qatar,..,..,..,..,..,..,..,..,..
Romania,..,..,..,..,..,..,..,..,..
Russian Federation,..,..,..,..,..,..,..,..,..
Rwanda,2015,50,25,84,40,4.5,3.4,13,5
Samoa,..,..,..,..,..,..,..,..,..
San Marino,..,..,..,..,..,..,..,..,..
Sao Tome and Principe,2019,20,18,28,19,177,33,37,8
Saudi Arabia,..,..,..,..,..,..,..,..,..
Senegal,2019,50,25,72,27,6.8,3.4,29,8
Serbia,..,..,..,..,..,2.8,1.5,..,..
Seychelles,..,..,..,..,..,..,..,..,..
Sierra Leone,2019,91,60,145,89,5.6,2.6,33,11
Singapore,..,..,..,..,..,..,..,..,..
Sint Maarten (Dutch part),..,..,..,..,..,..,..,..,..
Slovak Republic,..,..,..,..,..,..,..,..,..
Slovenia,..,..,..,..,..,..,..,..,..
Solomon Islands,..,..,..,..,..,..,..,..,..
Somalia,..,..,..,..,..,..,..,..,..
South Africa,2016,54,40,67,41,3.1,2.1,20,7
South Sudan,..,..,..,..,..,..,..,..,..
Spain,..,..,..,..,..,..,..,..,..
Sri Lanka,..,..,..,..,..,..,..,..,..
St. Kitts and Nevis,..,..,..,..,..,..,..,..,..
St. Lucia,..,..,..,..,..,..,..,..,..
St. Martin (French part),..,..,..,..,..,..,..,..,..
St. Vincent and the Grenadines,..,..,..,..,..,..,..,..,..
Sudan,2014,65,34,84,39,..,..,..,..
Suriname,2018,15,4,16,5,4.5,1.6,..,..
Sweden,..,..,..,..,..,..,..,..,..
Switzerland,..,..,..,..,..,..,..,..,..
Syrian Arab Republic,..,..,..,..,..,..,..,..,..
Tajikistan,2017,40,18,47,20,4,3,5,6
Tanzania,2016,45,59,78,73,7.2,3.3,42,15
Thailand,..,..,..,..,..,2.1,1.1,..,..
Timor-Leste,2016,36,20,55,25,5.2,3.4,11,4
Togo,2014,61,32,120,46,6.1,3,36,8
Tonga,2019,16,1,16,1,3.7,2.2,..,..
Trinidad and Tobago,..,..,..,..,..,..,..,..,..
Tunisia,..,..,..,..,..,7,3,..,..
Turkey,2013,23,8,28,8,3.3,1.7,8,1
Turkmenistan,2019,36,25,42,28,3.6,2.7,..,..
Turks and Caicos Islands,..,..,..,..,..,..,..,..,..
Tuvalu,..,..,..,..,..,..,..,..,..
Uganda,2016,56,39,88,53,6.8,3.2,30,9
Ukraine,..,..,..,..,..,2,1.3,..,..
United Arab Emirates,..,..,..,..,..,..,..,..,..
United Kingdom,..,..,..,..,..,..,..,..,..
United States,..,..,..,..,..,..,..,..,..
Uruguay,..,..,..,..,..,..,..,..,..
Uzbekistan,..,..,..,..,..,..,..,..,..
Vanuatu,..,..,..,..,..,..,..,..,..
"Venezuela, RB",..,..,..,..,..,..,..,..,..
Vietnam,..,..,..,..,..,2.5,1.8,..,..
Virgin Islands (U.S.),..,..,..,..,..,..,..,..,..
West Bank and Gaza,2014,18,12,21,14,5,3.3,..,..
"Yemen, Rep.",2013,53,33,69,38,6.1,2.9,11,8
Zambia,2018,44,41,67,57,6.7,3,46,8
Zimbabwe,2019,63,39,91,51,5.3,2.6,34,6
,,,,,,,,,
Most Recent Value (MRV) if data for the specified year or full period are not available; or growth rate is calculated for less than the full period.,,,,,,,,,
,,,,,,,,,
2.19 Health gaps by income: Demography,,,,,,,,,
,,,,,,,,,
"World Development Indicators , THE WORLD BANK",,,,,,,,,
Last updated date 06/30/2021,,,,,,,,,
,,,,,,,,,
About the Data,,,,,,,,,
,,,,,,,,,
"Infant mortality rate (per 1,000 live births): Q1 (lowest)",,,,,,,,,
Long definition,,,,,,,,,
"Infant mortality rate: Number of deaths to children under age twelve months per 1000 live births, based on experience during the reference period before the survey. The reference period is ten years preceding the survey for DHS surveys, and the reference period varies for MICS surveys (often three to five years preceding the survey).",,,,,,,,,
,,,,,,,,,
Source,,,,,,,,,
"Household Surveys (DHS, MICS)",,,,,,,,,
,,,,,,,,,
General comments,,,,,,,,,
"Data disaggregated by wealth quintile provide insights into health differentials by socioeconomic status and allow problems particular to the poor, such as unequal access to health care to be identified. The table shows the estimates for the poorest and richest quintiles only; the full set of estimates for up to 70 indicators is available at http://data.worldbank.org/data-catalog/healthnutrition-population-statistics. The estimates in the table are based on household survey data, which may refer to a period preceding the survey date or use a definition or methodology different from the estimates in the other tables. Thus the estimates may differ, and caution should be exercised in using the data.",,,,,,,,,
,,,,,,,,,
"Infant mortality rate (per 1,000 live births): Q5 (highest)",,,,,,,,,
Long definition,,,,,,,,,
"Infant mortality rate: Number of deaths to children under age twelve months per 1000 live births, based on experience during the reference period before the survey. The reference period is ten years preceding the survey for DHS surveys, and the reference period varies for MICS surveys (often three to five years preceding the survey).",,,,,,,,,
,,,,,,,,,
Source,,,,,,,,,
"Household Surveys (DHS, MICS)",,,,,,,,,
,,,,,,,,,
General comments,,,,,,,,,
"Data disaggregated by wealth quintile provide insights into health differentials by socioeconomic status and allow problems particular to the poor, such as unequal access to health care to be identified. The table shows the estimates for the poorest and richest quintiles only; the full set of estimates for up to 70 indicators is available at http://data.worldbank.org/data-catalog/healthnutrition-population-statistics. The estimates in the table are based on household survey data, which may refer to a period preceding the survey date or use a definition or methodology different from the estimates in the other tables. Thus the estimates may differ, and caution should be exercised in using the data.",,,,,,,,,
,,,,,,,,,
"Under-5 mortality rate (per 1,000 live births): Q1 (lowest)",,,,,,,,,
Long definition,,,,,,,,,
"Under-5 mortality rate: Number of deaths to children under age five years per 1000 live births, based on experience during the reference period before the survey. The reference period is ten years preceding the survey for DHS surveys, and the reference period varies for MICS surveys (often three to five years preceding the survey).",,,,,,,,,
,,,,,,,,,
Source,,,,,,,,,
"Household Surveys (DHS, MICS)",,,,,,,,,
,,,,,,,,,
General comments,,,,,,,,,
"Data disaggregated by wealth quintile provide insights into health differentials by socioeconomic status and allow problems particular to the poor, such as unequal access to health care to be identified. The table shows the estimates for the poorest and richest quintiles only; the full set of estimates for up to 70 indicators is available at http://data.worldbank.org/data-catalog/healthnutrition-population-statistics. The estimates in the table are based on household survey data, which may refer to a period preceding the survey date or use a definition or methodology different from the estimates in the other tables. Thus the estimates may differ, and caution should be exercised in using the data.",,,,,,,,,
,,,,,,,,,
"Under-5 mortality rate (per 1,000 live births): Q5 (highest)",,,,,,,,,
Long definition,,,,,,,,,
"Under-5 mortality rate: Number of deaths to children under age five years per 1000 live births, based on experience during the reference period before the survey. The reference period is ten years preceding the survey for DHS surveys, and the reference period varies for MICS surveys (often three to five years preceding the survey).",,,,,,,,,
,,,,,,,,,
Source,,,,,,,,,
"Household Surveys (DHS, MICS)",,,,,,,,,
,,,,,,,,,
General comments,,,,,,,,,
"Data disaggregated by wealth quintile provide insights into health differentials by socioeconomic status and allow problems particular to the poor, such as unequal access to health care to be identified. The table shows the estimates for the poorest and richest quintiles only; the full set of estimates for up to 70 indicators is available at http://data.worldbank.org/data-catalog/healthnutrition-population-statistics. The estimates in the table are based on household survey data, which may refer to a period preceding the survey date or use a definition or methodology different from the estimates in the other tables. Thus the estimates may differ, and caution should be exercised in using the data.",,,,,,,,,
,,,,,,,,,
Total fertility rate (TFR) (births per woman): Q1 (lowest),,,,,,,,,
Long definition,,,,,,,,,
Total fertility rate (TFR): The number of children that would be born to a woman if she were to live to the end of her childbearing years and bear children in accordance with age-specific fertility rates currently observed. The reference period is three years preceding the survey.,,,,,,,,,
,,,,,,,,,
Source,,,,,,,,,
"Household Surveys (DHS, MICS)",,,,,,,,,
,,,,,,,,,
General comments,,,,,,,,,
"Data disaggregated by wealth quintile provide insights into health differentials by socioeconomic status and allow problems particular to the poor, such as unequal access to health care to be identified. The table shows the estimates for the poorest and richest quintiles only; the full set of estimates for up to 70 indicators is available at http://data.worldbank.org/data-catalog/healthnutrition-population-statistics. The estimates in the table are based on household survey data, which may refer to a period preceding the survey date or use a definition or methodology different from the estimates in the other tables. Thus the estimates may differ, and caution should be exercised in using the data.",,,,,,,,,
,,,,,,,,,
Total fertility rate (TFR) (births per woman): Q5 (highest),,,,,,,,,
Long definition,,,,,,,,,
Total fertility rate (TFR): The number of children that would be born to a woman if she were to live to the end of her childbearing years and bear children in accordance with age-specific fertility rates currently observed. The reference period is three years preceding the survey.,,,,,,,,,
,,,,,,,,,
Source,,,,,,,,,
"Household Surveys (DHS, MICS)",,,,,,,,,
,,,,,,,,,
General comments,,,,,,,,,
"Data disaggregated by wealth quintile provide insights into health differentials by socioeconomic status and allow problems particular to the poor, such as unequal access to health care to be identified. The table shows the estimates for the poorest and richest quintiles only; the full set of estimates for up to 70 indicators is available at http://data.worldbank.org/data-catalog/healthnutrition-population-statistics. The estimates in the table are based on household survey data, which may refer to a period preceding the survey date or use a definition or methodology different from the estimates in the other tables. Thus the estimates may differ, and caution should be exercised in using the data.",,,,,,,,,
,,,,,,,,,
Teenage pregnancy and motherhood (% of women ages 15-19 who have had children or are currently pregnant): Q1 (lowest),,,,,,,,,
Long definition,,,,,,,,,
Teenage pregnancy and motherhood: Percentage of women aged 15-19 years who are mothers or pregnant with their first child.,,,,,,,,,
,,,,,,,,,
Source,,,,,,,,,
"Household Surveys (DHS, MICS)",,,,,,,,,
,,,,,,,,,
General comments,,,,,,,,,
"Data disaggregated by wealth quintile provide insights into health differentials by socioeconomic status and allow problems particular to the poor, such as unequal access to health care to be identified. The table shows the estimates for the poorest and richest quintiles only; the full set of estimates for up to 70 indicators is available at http://data.worldbank.org/data-catalog/healthnutrition-population-statistics. The estimates in the table are based on household survey data, which may refer to a period preceding the survey date or use a definition or methodology different from the estimates in the other tables. Thus the estimates may differ, and caution should be exercised in using the data.",,,,,,,,,
,,,,,,,,,
Teenage pregnancy and motherhood (% of women ages 15-19 who have had children or are currently pregnant): Q5 (highest),,,,,,,,,
Long definition,,,,,,,,,
Teenage pregnancy and motherhood: Percentage of women aged 15-19 years who are mothers or pregnant with their first child.,,,,,,,,,
,,,,,,,,,
Source,,,,,,,,,
"Household Surveys (DHS, MICS)",,,,,,,,,
,,,,,,,,,
General comments,,,,,,,,,
"Data disaggregated by wealth quintile provide insights into health differentials by socioeconomic status and allow problems particular to the poor, such as unequal access to health care to be identified. The table shows the estimates for the poorest and richest quintiles only; the full set of estimates for up to 70 indicators is available at http://data.worldbank.org/data-catalog/healthnutrition-population-statistics. The estimates in the table are based on household survey data, which may refer to a period preceding the survey date or use a definition or methodology different from the estimates in the other tables. Thus the estimates may differ, and caution should be exercised in using the data.",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"Please see the online table at http://wdi.worldbank.org/table/2.19 for observation-level metadata, which can be downloaded in Excel.",,,,,,,,,
