,Health expenditure,,,,,External health expenditure (% of current health expenditure),Health workers,,Specialist surgical workforce,Completeness of birth registration,Completeness of death registration
Mauritius,5.8,43.1,48.5,653.3,"1,380.70",0.5,2.5,3.5,17.6,..,100
Mexico,5.4,50.1,42.1,519.6,"1,066.00",0,2.4,2.4,..,95,100
"Micronesia, Fed. Sts.",12.6,26.3,2.4,415.8,414,71.3,..,2,7,..,..
Moldova,6.6,56.5,40.1,213,479.9,2.7,3.2,4.9,86.1,..,90
Monaco,1.6,85.7,7.6,"2,968.50","2,982.50",0,7.5,20.2,195.6,100,100
Mongolia,3.8,58.7,32.4,155.1,519.3,5.5,2.9,3.9,45,99.6,84
Montenegro,8.4,60,39.6,731.5,"1,711.20",0,2.8,5.2,64.1,..,94
Morocco,5.3,40.2,47,174.8,467.1,0.2,0.7,1.4,3.7,96.1,29
Mozambique,8.2,21.2,9.7,40.3,117.8,62.9,0.1,0.7,0.5,55,..
Myanmar,4.8,14.8,76.4,59.2,291.7,8.7,0.7,1,2.4,81.3,..
Namibia,8,46.1,8.4,471.5,882.7,4.6,0.4,2,6.1,78.1,..
Nepal,5.8,25,50.8,57.8,180.4,9.1,0.7,3.1,3,56.2,..
Netherlands,10,64.9,10.8,"5,306.50","5,634.50",0,3.6,11.2,49,100,100
New Caledonia,..,..,..,..,..,..,..,..,..,..,..
New Zealand,9.2,74.8,12.9,"4,037.50","4,024.40",0,3.6,12.4,43,100,100
Nicaragua,8.6,59.8,32.9,173.8,473.9,5.4,1,1.5,15.5,..,68
Niger,7.3,33.2,48.8,30.4,78,11.8,0,0.3,0.4,..,..
Nigeria,3.9,14.9,76.6,83.8,233,7.9,0.4,1.2,1.4,42.6,..
North Macedonia,6.6,57.3,42.1,399.1,"1,073.20",0,2.9,3.8,61.2,..,100
Northern Mariana Islands,..,..,..,..,..,..,..,..,..,..,..
Norway,10,85.3,14.3,"8,239.10","6,818.30",0,2.9,18.2,67.2,100,100
Oman,4.1,87.7,6,678.2,"1,729.50",0,2,4.2,30.5,100,74
Pakistan,3.2,35.5,56.2,42.9,178.2,0.6,1,0.7,5.5,42.2,..
Palau,10.9,58.9,17.2,"1,723.50","2,011.50",2.6,1.4,7.3,..,..,95
Panama,7.3,63.9,28.7,"1,131.70","1,856.70",0.7,1.6,3.1,26.2,..,92
Papua New Guinea,2.4,70,9.7,63.8,101.3,20.2,0.1,0.5,2.3,13.4,..
Paraguay,6.7,43.8,45.3,400.4,935.3,0.1,1.4,1.7,20.5,69.1,88
Peru,5.2,62.6,29.2,369.1,766.6,0.2,1.3,2.4,42.9,98,57
Philippines,4.4,32.7,53.9,136.5,393.9,0.8,0.6,4.9,9.6,91.8,89
Poland,6.3,71.1,20.8,978.7,"2,015.30",0.1,2.4,6.9,67.9,100,100
Portugal,9.4,61.5,29.5,"2,215.20","3,242.40",0.1,5.1,7,86.1,100,100
Puerto Rico,..,..,..,..,..,..,..,..,..,..,..
Qatar,2.5,74.7,9.5,"1,716.30","3,165.90",0,2.5,7.3,..,100,77
Romania,5.6,79.7,19.5,687.3,"1,576.30",0,3,7.4,60.5,..,100
Russian Federation,5.3,59.5,38.3,609,"1,488.30",0,4,8.5,63.1,100,100
Rwanda,7.5,31.5,10.5,58.3,169.8,30.7,0.1,1.2,0.8,56,..
Samoa,5.2,72.2,11.8,227.3,355.2,15.2,0.3,2.5,1.6,58.6,..
San Marino,7.1,83.9,15.1,"3,463.70","4,340.00",0,6.1,8.2,112.9,100,100
Sao Tome and Principe,6.3,44,15,125.4,213.9,39.7,0.1,1.9,..,95.2,..
Saudi Arabia,6.4,62.4,14.4,"1,484.60","3,519.90",0,2.6,5.5,..,..,42
Senegal,4,23.8,55.9,58.9,146.4,13.7,0.1,0.3,..,78.7,..
Serbia,8.5,59.4,38.3,617.1,"1,484.60",0.7,3.1,6.1,86.7,99.4,94
Seychelles,5.1,74.5,23.5,833.1,"1,549.00",0.4,2.1,8.1,48.6,..,91
Sierra Leone,16.1,9.7,44.8,85.8,257.3,25.9,..,0.2,..,90.4,..
Singapore,4.5,50.3,31,"2,823.60","4,439.30",0,2.3,6.2,31.5,..,66
Sint Maarten (Dutch part),..,..,..,..,..,..,..,..,..,..,..
Slovak Republic,6.7,79.2,18.9,"1,299.90","2,179.50",0,3.4,6.1,53.9,100,100
Slovenia,8.3,72.4,12,"2,169.60","3,158.40",0,3.1,10,66.7,100,100
Solomon Islands,4.5,79.1,2.1,95,107.6,18.8,0.2,2.2,2.5,88,..
Somalia,..,..,..,..,..,..,0,0.1,0.2,..,..
South Africa,8.3,54,7.7,526,"1,129.40",1.9,0.9,1.3,11.4,89,92
South Sudan,6.4,10.8,22,26.8,113.8,62.3,..,..,0.3,..,..
Spain,9,70.4,22.2,"2,736.30","3,576.50",0,3.9,5.7,79.9,100,100
Sri Lanka,3.8,41.1,50.7,157.5,516.9,2.2,1,2.2,2.8,..,..
St. Kitts and Nevis,5.3,46.5,48.5,992.6,"1,555.60",0,2.7,4.2,33.5,..,88
St. Lucia,4.4,47.3,46.3,464.7,610.5,0.3,0.6,3.2,23.6,..,97
St. Martin (French part),..,..,..,..,..,..,..,..,..,..,..
St. Vincent and the Grenadines,4.5,68.2,28.4,329.3,549.6,0.4,..,7,23.6,..,100
Sudan,4.5,22.8,66.2,60.2,293.1,7.6,0.3,0.7,2.7,67.3,..
Suriname,8,65.9,19.9,474.1,"1,179.60",1.9,1.2,2.8,..,98.3,80
Sweden,10.9,85.1,13.8,"5,981.70","5,828.40",0,4,11.8,113.1,100,100
Switzerland,11.9,31.2,28,"9,870.70","8,113.90",0,4.3,17.5,94.8,100,100
Syrian Arab Republic,..,..,..,..,..,..,1.3,1.5,..,..,83
Tajikistan,7.2,27,68.4,59.8,249.7,4.3,2.1,4.8,41.7,95.8,87
Tanzania,3.6,42.9,24,36.8,112.5,32.2,0,0.6,0.5,26.4,..
Thailand,3.8,76.3,11,275.9,722.7,0.3,0.8,2.8,13.1,99.5,87
Timor-Leste,4.3,60.6,7.1,93.7,352.5,28,0.7,1.7,0.9,60.4,..
Togo,6.2,17,56.3,41.8,109.4,16.8,0.1,0.4,0.5,82.9,..
Tonga,5.1,63.2,10.2,236.9,355.3,22.7,0.5,4.2,14,..,..
Trinidad and Tobago,6.9,49.3,43.9,"1,123.40","2,099.60",0,4.2,4.1,30.9,..,83
Tunisia,7.3,57.4,38.9,251.5,912.3,0.4,1.3,2.5,11.5,99.9,29
Turkey,4.1,77.4,17.5,389.9,"1,170.80",0,1.8,2.7,47.6,98.4,92
Turkmenistan,6.6,18.1,76.3,460.2,"1,275.10",0.5,2.2,4.4,58.8,99.6,85
Turks and Caicos Islands,..,..,..,..,..,..,..,..,..,..,..
Tuvalu,19,79.9,0.5,692.5,757.8,16.3,0.9,4.3,26.1,..,..
Uganda,6.5,15.8,38.4,43.1,139.3,43.1,0.2,1.2,1.1,32.2,..
Ukraine,7.7,47.9,49.3,228.4,682.5,1,3,6.7,86.6,..,99
United Arab Emirates,4.2,51.6,12.7,"1,817.30","3,172.60",0,2.5,5.7,..,..,59
United Kingdom,10,78.6,16.7,"4,315.40","4,619.60",0,2.8,8.2,133.3,100,100
United States,16.9,50.4,10.8,"10,623.80","10,623.80",0,2.6,14.5,54.7,100,100
Uruguay,9.2,73,17,"1,590.00","2,169.30",0,5.1,1.9,38.9,..,100
Uzbekistan,5.3,38.2,60.3,82.3,459.4,0.8,2.4,11.3,50.4,..,93
Vanuatu,3.4,63.5,9,105.4,108.7,23.4,0.2,1.4,3.2,..,..
"Venezuela, RB",3.6,47.8,38.2,256.9,383.5,0,..,0.9,18.1,81,89
Vietnam,5.9,45.6,44.9,151.7,440.2,1.8,0.8,1.4,..,96.1,..
Virgin Islands (U.S.),..,..,..,..,..,..,..,..,..,..,..
West Bank and Gaza,..,..,..,..,..,..,..,..,..,95.9,..
"Yemen, Rep.",..,..,..,..,..,..,0.5,0.8,0.8,..,..
Zambia,4.9,39.1,10,76,208.4,44.6,1.2,1.3,1.5,14,..
Zimbabwe,4.7,28,24.4,140.3,198,20,0.2,1.9,1.6,48.7,..
World,9.8,59.5,18.1,"1,110.80","1,467.20",0.2,1.6,3.8,30.5,70.6,66.9
East Asia & Pacific,6.7,66.5,26.2,721.9,"1,103.80",0.1,1.7,3.4,36,..,69.4
Europe & Central Asia,9.3,72.5,17.7,"2,346.60","2,968.90",0,3.4,8.3,82.7,99.6,98.1
Latin America & Caribbean,8,51.2,30.1,666.9,"1,251.60",0.2,2.3,5.1,43.4,93.7,92.8
Middle East & North Africa,6,56.4,26.9,520.9,"1,336.40",0.4,1.3,2.5,21.9,..,75.3
North America,16.4,51.6,11,"10,050.30","10,071.20",0,2.6,14.1,53.6,100,100
South Asia,3.5,27.3,62.4,67.2,249,1.4,0.8,1.5,6.1,69.6,10
Sub-Saharan Africa,5.1,36.3,33.3,83.2,262.2,12.3,0.2,1,1.7,45.1,..
Low income,5.3,20.6,44.1,35.6,219,29.2,0.3,0.9,1.4,40.8,..
Lower middle income,4.1,33.2,55.7,85.7,292.1,3.2,0.8,1.8,9.5,67.4,..
Upper middle income,5.7,55.1,33.2,486.4,"1,006.90",0.1,2,3.5,40.5,..,75.9
High income,12.4,61.6,13.5,"5,562.30","5,971.70",0,3.1,10.9,70.8,100,99.1
,,,,,,,,,,,
Most Recent Value (MRV) if data for the specified year or full period are not available; or growth rate is calculated for less than the full period.,,,,,,,,,,,
,,,,,,,,,,,
2.12 Health systems,,,,,,,,,,,
,,,,,,,,,,,
"World Development Indicators , THE WORLD BANK",,,,,,,,,,,
Last updated date 04/26/2021,,,,,,,,,,,
,,,,,,,,,,,
About the Data,,,,,,,,,,,
,,,,,,,,,,,
Current health expenditure (% of GDP),,,,,,,,,,,
Long definition,,,,,,,,,,,
"Level of current health expenditure expressed as a percentage of GDP. Estimates of current health expenditures include healthcare goods and services consumed during each year. This indicator does not include capital health expenditures such as buildings, machinery, IT and stocks of vaccines for emergency or outbreaks.",,,,,,,,,,,
,,,,,,,,,,,
Source,,,,,,,,,,,
World Health Organization Global Health Expenditure database (http://apps.who.int/nha/database).,,,,,,,,,,,
,,,,,,,,,,,
Domestic general government health expenditure (% of current health expenditure),,,,,,,,,,,
Long definition,,,,,,,,,,,
"Share of current health expenditures funded from domestic public sources for health. Domestic public sources include domestic revenue as internal transfers and grants, transfers, subsidies to voluntary health insurance beneficiaries, non-profit institutions serving households (NPISH) or enterprise financing schemes as well as compulsory prepayment and social health insurance contributions. They do not include external resources spent by governments on health.",,,,,,,,,,,
,,,,,,,,,,,
Source,,,,,,,,,,,
World Health Organization Global Health Expenditure database (http://apps.who.int/nha/database).,,,,,,,,,,,
,,,,,,,,,,,
Out-of-pocket expenditure (% of current health expenditure),,,,,,,,,,,
Long definition,,,,,,,,,,,
Share of out-of-pocket payments of total current health expenditures. Out-of-pocket payments are spending on health directly out-of-pocket by households.,,,,,,,,,,,
,,,,,,,,,,,
Source,,,,,,,,,,,
World Health Organization Global Health Expenditure database (http://apps.who.int/nha/database).,,,,,,,,,,,
,,,,,,,,,,,
Current health expenditure per capita (current US$),,,,,,,,,,,
Long definition,,,,,,,,,,,
Current expenditures on health per capita in current US dollars. Estimates of current health expenditures include healthcare goods and services consumed during each year.,,,,,,,,,,,
,,,,,,,,,,,
Source,,,,,,,,,,,
World Health Organization Global Health Expenditure database (http://apps.who.int/nha/database).,,,,,,,,,,,
,,,,,,,,,,,
"Current health expenditure per capita, PPP (current international $)",,,,,,,,,,,
Long definition,,,,,,,,,,,
Current expenditures on health per capita expressed in international dollars at purchasing power parity (PPP time series based on ICP2011 PPP).,,,,,,,,,,,
,,,,,,,,,,,
Source,,,,,,,,,,,
World Health Organization Global Health Expenditure database (http://apps.who.int/nha/database).,,,,,,,,,,,
,,,,,,,,,,,
External health expenditure (% of current health expenditure),,,,,,,,,,,
Long definition,,,,,,,,,,,
Share of current health expenditures funded from external sources. External sources compose of direct foreign transfers and foreign transfers distributed by government encompassing all financial inflows into the national health system from outside the country. External sources either flow through the government scheme or are channeled through non-governmental organizations or other schemes.,,,,,,,,,,,
,,,,,,,,,,,
Source,,,,,,,,,,,
World Health Organization Global Health Expenditure database (http://apps.who.int/nha/database).,,,,,,,,,,,
,,,,,,,,,,,
"Physicians (per 1,000 people)",,,,,,,,,,,
Long definition,,,,,,,,,,,
Physicians include generalist and specialist medical practitioners.,,,,,,,,,,,
,,,,,,,,,,,
Source,,,,,,,,,,,
"World Health Organization's Global Health Workforce Statistics, OECD, supplemented by country data.",,,,,,,,,,,
,,,,,,,,,,,
General comments,,,,,,,,,,,
This is the Sustainable Development Goal indicator 3.c.1 [https://unstats.un.org/sdgs/metadata/].,,,,,,,,,,,
,,,,,,,,,,,
"Nurses and midwives (per 1,000 people)",,,,,,,,,,,
Long definition,,,,,,,,,,,
"Nurses and midwives include professional nurses, professional midwives, auxiliary nurses, auxiliary midwives, enrolled nurses, enrolled midwives and other associated personnel, such as dental nurses and primary care nurses.",,,,,,,,,,,
,,,,,,,,,,,
Source,,,,,,,,,,,
"World Health Organization's Global Health Workforce Statistics, OECD, supplemented by country data.",,,,,,,,,,,
,,,,,,,,,,,
General comments,,,,,,,,,,,
This is the Sustainable Development Goal indicator 3.c.1 [https://unstats.un.org/sdgs/metadata/].,,,,,,,,,,,
,,,,,,,,,,,
"Specialist surgical workforce (per 100,000 population)",,,,,,,,,,,
Long definition,,,,,,,,,,,
"Specialist surgical workforce is the number of specialist surgical, anaesthetic, and obstetric (SAO) providers who are working in each country per 100,000 population.",,,,,,,,,,,
,,,,,,,,,,,
Source,,,,,,,,,,,
"Data collected by the Lancet Commission on Global Surgery (www.lancetglobalsurgery.org); Data collected by WHO Collaborating Centre for Surgery and Public Health at Lund University from various sources including Ministries of Health or equivalent national regulatory bodies, national official entities such as medical councils, Eurostat, OECD, WHO Euro Health For All Database, WHO EURO Technical resources for health Database; BMJ Glob Health.",,,,,,,,,,,
,,,,,,,,,,,
Completeness of birth registration (%),,,,,,,,,,,
Long definition,,,,,,,,,,,
Completeness of birth registration is the percentage of children under age 5 whose births were registered at the time of the survey. The numerator of completeness of birth registration includes children whose birth certificate was seen by the interviewer or whose mother or caretaker says the birth has been registered.,,,,,,,,,,,
,,,,,,,,,,,
Source,,,,,,,,,,,
UNICEF's State of the World's Children based mostly on household surveys and ministry of health data.,,,,,,,,,,,
,,,,,,,,,,,
Completeness of death registration with cause-of-death information (%),,,,,,,,,,,
Long definition,,,,,,,,,,,
Completeness of death registration is the estimated percentage of deaths that are registered with their cause of death information in the vital registration system of a country.,,,,,,,,,,,
,,,,,,,,,,,
Source,,,,,,,,,,,
"World Health Organization, Global Health Observatory Data Repository/World Health Statistics (http://apps.who.int/gho/data/node.main.1?lang=en).",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"Please see the online table at http://wdi.worldbank.org/table/2.12 for observation-level metadata, which can be downloaded in Excel.",,,,,,,,,,,
