,Population,,Average annual population growth %,Population age composition,,,Dependency ratio,,Crude death rate,Crude birth rate
Brunei Darussalam,0.3,0.4,1.4,22,72,6,31,8,5,14
Bulgaria,8.2,6.9,-0.8,15,64,21,23,34,16,9
Burkina Faso,11.6,20.9,2.9,44,53,2,83,5,8,37
Burundi,6.4,11.9,3.1,45,52,2,86,5,8,38
Cabo Verde,0.4,0.6,1.3,28,67,5,42,7,6,19
Cambodia,12.2,16.7,1.6,31,64,5,48,8,6,22
Cameroon,15.5,26.5,2.7,42,55,3,76,5,9,35
Canada,30.7,38,1.1,16,66,18,24,27,8,10
Cayman Islands,0,0.1,2.2,..,..,..,..,..,4,10
Central African Republic,3.6,4.8,1.4,44,54,3,81,5,12,35
Chad,8.4,16.4,3.4,46,51,2,91,5,12,42
Channel Islands,0.1,0.2,0.8,15,67,18,22,27,8,10
Chile,15.3,19.1,1.1,19,69,12,28,18,6,12
China,"1,262.60","1,402.10",0.5,18,70,12,25,17,7,11
"Hong Kong SAR, China",6.7,7.5,0.6,13,69,18,18,26,7,7
"Macao SAR, China",0.4,0.6,2.1,14,74,12,19,16,4,11
Colombia,39.6,50.9,1.2,22,69,9,32,13,6,15
Comoros,0.5,0.9,2.4,39,58,3,67,5,7,31
"Congo, Dem. Rep.",47.1,89.6,3.2,46,51,3,89,6,9,41
"Congo, Rep.",3.1,5.5,2.8,41,56,3,74,5,7,32
Costa Rica,4,5.1,1.3,21,69,10,30,15,5,14
Cote d'Ivoire,16.5,26.4,2.4,42,56,3,75,5,10,35
Croatia,4.5,4,-0.5,15,64,21,23,33,13,9
Cuba,11.1,11.3,0.1,16,68,16,23,23,9,10
Curacao,0.1,0.2,0.7,18,64,18,28,28,9,10
Cyprus,0.9,1.2,1.2,17,69,14,24,21,7,10
Czech Republic,10.3,10.7,0.2,16,64,20,25,31,11,11
Denmark,5.3,5.8,0.4,16,64,20,26,32,9,11
Djibouti,0.7,1,1.6,29,66,5,44,7,7,21
Dominica,0.1,0.1,0.2,..,..,..,..,..,..,..
Dominican Republic,8.5,10.8,1.2,27,65,8,42,12,6,19
Ecuador,12.7,17.6,1.7,27,65,8,42,12,5,19
"Egypt, Arab Rep.",68.8,102.3,2,34,61,5,56,9,6,26
El Salvador,5.9,6.5,0.5,27,65,9,41,13,7,18
Equatorial Guinea,0.6,1.4,4.2,37,61,2,60,4,9,33
Eritrea,2.3,..,..,..,..,..,..,..,7,30
Estonia,1.4,1.3,-0.2,16,63,20,26,32,12,11
Eswatini,1,1.2,0.7,37,59,4,64,7,9,26
Ethiopia,66.2,115,2.8,40,57,4,71,6,6,32
Faroe Islands,0,0,0.2,..,..,..,..,..,8,13
Fiji,0.8,0.9,0.5,29,65,6,45,9,8,21
Finland,5.2,5.5,0.3,16,62,23,26,37,10,8
France,60.9,67.4,0.5,18,62,21,29,34,9,11
French Polynesia,0.2,0.3,0.8,22,69,9,32,13,6,14
Gabon,1.2,2.2,3,37,59,4,63,6,7,31
"Gambia, The",1.3,2.4,3,44,54,3,82,5,8,38
Georgia,4.1,3.7,-0.5,20,65,15,31,24,13,13
Germany,82.2,83.2,0.1,14,64,22,22,34,11,9
Ghana,19.3,31.1,2.4,37,60,3,62,5,7,29
Greece,10.8,10.7,0,14,64,22,21,35,12,8
Greenland,0.1,0.1,0,..,..,..,..,..,10,15
Grenada,0.1,0.1,0.4,24,66,10,36,15,10,16
Guam,0.2,0.2,0.4,24,66,11,36,16,5,16
Guatemala,11.6,16.9,1.9,33,62,5,54,8,5,24
Guinea,8.2,13.1,2.3,43,54,3,80,5,8,36
Guinea-Bissau,1.2,2,2.5,42,55,3,76,5,9,35
Guyana,0.7,0.8,0.3,28,65,7,42,11,8,20
Haiti,8.5,11.4,1.5,32,62,5,52,8,8,24
Honduras,6.6,9.9,2,31,64,5,47,8,4,21
Hungary,10.2,9.7,-0.2,14,65,20,22,31,13,10
Iceland,0.3,0.4,1.3,19,65,16,30,24,6,12
India,"1,056.60","1,380.00",1.3,26,67,7,39,10,7,18
Indonesia,211.5,273.5,1.3,26,68,6,38,9,7,18
"Iran, Islamic Rep.",65.6,84,1.2,25,69,7,36,10,5,18
Iraq,23.5,40.2,2.7,38,59,3,64,6,5,29
Ireland,3.8,5,1.4,21,65,15,32,23,6,12
Isle of Man,0.1,0.1,0.5,..,..,..,..,..,..,..
Israel,6.3,9.2,1.9,28,60,12,47,21,5,20
Italy,56.9,59.6,0.2,13,64,23,20,37,11,7
Jamaica,2.7,3,0.5,23,68,9,35,13,8,16
Japan,126.8,125.8,0,12,59,28,21,48,11,7
Jordan,5.1,10.2,3.4,33,63,4,52,6,4,21
Kazakhstan,14.9,18.8,1.2,29,63,8,46,13,7,22
Kenya,32,53.8,2.6,39,59,3,66,4,5,28
Kiribati,0.1,0.1,1.7,36,60,4,60,7,6,27
"Korea, Dem. People's Rep.",22.9,25.8,0.6,20,71,9,28,13,9,14
"Korea, Rep.",47,51.8,0.5,13,72,16,18,22,6,6
Kosovo,1.7,1.8,0.2,..,..,..,..,..,7,16
Kuwait,2,4.3,3.7,21,76,3,28,4,3,13
Kyrgyz Republic,4.9,6.6,1.5,33,63,5,52,8,5,27
Lao PDR,5.3,7.3,1.6,32,64,4,50,7,6,23
Latvia,2.4,1.9,-1.1,16,63,21,26,33,15,10
Lebanon,3.8,6.8,2.9,25,67,8,37,11,4,17
Lesotho,2,2.1,0.3,32,63,5,51,8,14,26
Liberia,2.8,5.1,2.9,40,56,3,72,6,7,33
Libya,5.4,6.9,1.2,28,68,5,41,7,5,18
Liechtenstein,0,0,0.7,..,..,..,..,..,7,9
Lithuania,3.5,2.8,-1.1,15,64,21,24,32,14,10
Luxembourg,0.4,0.6,1.9,16,70,14,22,21,7,10
Madagascar,15.8,27.7,2.8,40,57,3,70,5,6,32
Malawi,11.1,19.1,2.7,43,54,3,79,5,6,34
Malaysia,23.2,32.4,1.7,23,69,7,34,10,5,17
Maldives,0.3,0.5,3.3,20,77,4,26,5,3,14
Mali,10.9,20.3,3.1,47,51,2,93,5,9,41
Malta,0.4,0.5,1.5,14,64,21,22,33,7,9
Marshall Islands,0.1,0.1,0.8,..,..,..,..,..,..,..
Mauritania,2.6,4.6,2.8,40,57,3,69,6,7,33
Mauritius,1.2,1.3,0.3,17,71,13,24,18,9,10
Mexico,98.9,128.9,1.3,26,67,8,39,11,6,17
"Micronesia, Fed. Sts.",0.1,0.1,0.3,31,64,4,48,7,7,23
Moldova,2.9,2.6,-0.6,16,72,12,22,17,12,10
Monaco,0,0,1,..,..,..,..,..,..,..
Mongolia,2.4,3.3,1.6,31,65,4,48,7,6,23
Montenegro,0.6,0.6,0.1,18,66,16,27,24,11,12
Morocco,28.8,36.9,1.2,27,66,8,41,12,5,19
Mozambique,17.7,31.3,2.8,44,53,3,83,5,8,37
Myanmar,46.7,54.4,0.8,25,68,6,37,9,8,17
Namibia,1.8,2.5,1.7,37,60,4,62,6,8,28
Nepal,23.9,29.1,1,29,65,6,44,9,6,20
Netherlands,15.9,17.4,0.5,16,64,20,24,31,9,10
New Caledonia,0.2,0.3,1.2,22,68,10,32,14,6,14
New Zealand,3.9,5.1,1.4,19,64,16,30,25,7,12
Nicaragua,5.1,6.6,1.3,30,65,6,46,9,5,20
Niger,11.3,24.2,3.8,50,48,3,104,5,8,46
Nigeria,122.3,206.1,2.6,43,54,3,81,5,12,37
North Macedonia,2,2.1,0.1,16,69,14,24,21,10,11
Northern Mariana Islands,0.1,0.1,0,..,..,..,..,..,..,..
Norway,4.5,5.4,0.9,17,65,18,26,27,8,10
Oman,2.3,5.1,4.1,22,75,3,30,3,2,19
Pakistan,142.3,220.9,2.2,35,61,4,57,7,7,28
Palau,0,0,-0.3,..,..,..,..,..,11,11
Panama,3,4.3,1.8,26,65,9,41,13,5,19
Papua New Guinea,5.8,8.9,2.1,35,61,4,57,6,7,27
Paraguay,5.3,7.1,1.5,29,64,7,45,11,6,20
Peru,26.5,33,1.1,25,67,9,37,13,6,18
Philippines,78,109.6,1.7,30,64,6,47,9,6,20
Poland,38.3,38,0,15,66,19,23,28,11,10
Portugal,10.3,10.3,0,13,64,23,20,35,11,8
Puerto Rico,3.8,3.2,-0.9,16,63,21,25,33,9,6
Qatar,0.6,2.9,7.9,14,85,2,16,2,1,9
Romania,22.4,19.3,-0.8,16,65,19,24,29,13,10
Russian Federation,146.6,144.1,-0.1,18,66,16,28,23,13,10
Rwanda,7.9,13,2.5,39,57,3,69,5,5,31
Samoa,0.2,0.2,0.6,37,58,5,64,9,5,24
San Marino,0,0,1.1,..,..,..,..,..,7,7
Sao Tome and Principe,0.1,0.2,2.2,42,55,3,76,5,5,31
Saudi Arabia,20.7,34.8,2.6,25,72,3,34,5,4,17
Senegal,9.8,16.7,2.7,43,54,3,78,6,6,34
Serbia,7.5,6.9,-0.4,15,66,19,23,29,15,9
Seychelles,0.1,0.1,1,24,68,8,35,12,8,16
Sierra Leone,4.6,8,2.8,40,57,3,71,5,12,33
Singapore,4,5.7,1.7,12,74,13,17,18,5,9
Sint Maarten (Dutch part),0,0,1.5,..,..,..,..,..,..,..
Slovak Republic,5.4,5.5,0.1,16,68,17,23,25,10,11
Slovenia,2,2.1,0.3,15,64,21,24,32,10,9
Solomon Islands,0.4,0.7,2.5,40,56,4,71,7,4,32
Somalia,8.9,15.9,2.9,46,51,3,91,6,11,42
South Africa,45,59.3,1.4,29,66,6,44,8,9,20
South Sudan,6.2,11.2,3,41,55,3,75,6,10,35
Spain,40.6,47.4,0.8,14,66,20,22,30,9,8
Sri Lanka,18.8,21.9,0.8,24,65,11,36,17,7,16
St. Kitts and Nevis,0,0.1,0.9,..,..,..,..,..,..,..
St. Lucia,0.2,0.2,0.8,18,72,10,25,14,7,12
St. Martin (French part),0,0,1.4,..,..,..,..,..,4,15
St. Vincent and the Grenadines,0.1,0.1,0.1,22,68,10,32,15,9,14
Sudan,27.3,43.8,2.4,40,57,4,70,6,7,32
Suriname,0.5,0.6,1.1,27,66,7,40,11,7,18
Sweden,8.9,10.4,0.8,18,62,20,28,33,9,11
Switzerland,7.2,8.6,0.9,15,66,19,23,29,8,10
Syrian Arab Republic,16.4,17.5,0.3,31,64,5,48,8,5,23
Tajikistan,6.2,9.5,2.1,37,60,3,63,5,5,30
Tanzania,33.5,59.7,2.9,44,54,3,81,5,6,36
Thailand,63,69.8,0.5,17,70,13,23,18,8,10
Timor-Leste,0.9,1.3,2,37,59,4,63,7,6,29
Togo,4.9,8.3,2.6,41,56,3,72,5,8,33
Tonga,0.1,0.1,0.4,35,59,6,59,10,7,24
Trinidad and Tobago,1.3,1.4,0.5,20,68,12,29,17,9,13
Tunisia,9.7,11.8,1,24,67,9,36,13,6,17
Turkey,63.2,84.3,1.4,24,67,9,36,13,5,16
Turkmenistan,4.5,6,1.4,31,64,5,48,7,7,23
Turks and Caicos Islands,0,0,3.3,..,..,..,..,..,..,..
Tuvalu,0,0,1.1,..,..,..,..,..,..,..
Uganda,23.7,45.7,3.3,46,52,2,88,4,6,37
Ukraine,49.2,44.1,-0.5,16,67,17,24,25,15,8
United Arab Emirates,3.1,9.9,5.7,15,84,1,18,2,2,10
United Kingdom,58.9,67.2,0.7,18,64,19,28,29,9,11
United States,282.2,329.5,0.8,18,65,17,28,26,9,11
Uruguay,3.3,3.5,0.2,20,65,15,31,23,9,14
Uzbekistan,24.7,34.2,1.6,29,66,5,43,7,5,24
Vanuatu,0.2,0.3,2.5,38,58,4,66,6,5,29
"Venezuela, RB",24.2,28.4,0.8,27,65,8,42,12,7,18
Vietnam,79.9,97.3,1,23,69,8,34,11,6,16
Virgin Islands (U.S.),0.1,0.1,-0.1,19,60,20,32,34,8,12
West Bank and Gaza,2.9,4.8,2.5,38,58,3,66,6,3,29
"Yemen, Rep.",17.4,29.8,2.7,39,58,3,67,5,6,30
Zambia,10.4,18.4,2.8,44,54,2,82,4,6,36
Zimbabwe,11.9,14.9,1.1,42,55,3,76,5,8,30
World,"6,114.30","7,752.80",1.2,25,65,9,39,14,8,18
East Asia & Pacific,"2,047.60","2,352.00",0.7,20,69,12,28,17,7,12
Europe & Central Asia,861.3,923.5,0.3,18,65,17,28,26,10,11
Latin America & Caribbean,520.9,652.3,1.1,24,67,9,36,13,6,16
Middle East & North Africa,315.3,464.6,1.9,30,65,5,46,8,5,22
North America,312.9,367.6,0.8,18,65,17,28,26,9,11
South Asia,"1,390.90","1,856.90",1.4,28,66,6,42,9,7,19
Sub-Saharan Africa,665.3,"1,136.00",2.7,42,55,3,76,5,8,35
Low income,387.1,665.1,2.7,42,55,3,76,6,8,34
Lower middle income,"2,445.10","3,330.70",1.5,30,65,6,46,9,7,22
Upper middle income,"2,183.10","2,513.70",0.7,20,69,11,29,16,7,13
High income,"1,074.80","1,214.90",0.6,16,65,19,25,29,9,10
,,,,,,,,,,
Most Recent Value (MRV) if data for the specified year or full period are not available; or growth rate is calculated for less than the full period.,,,,,,,,,,
,,,,,,,,,,
2.1 Population dynamics,,,,,,,,,,
,,,,,,,,,,
"World Development Indicators , THE WORLD BANK",,,,,,,,,,
Last updated date 09/15/2021,,,,,,,,,,
,,,,,,,,,,
About the Data,,,,,,,,,,
,,,,,,,,,,
"Population, total",,,,,,,,,,
Long definition,,,,,,,,,,
"Total population is based on the de facto definition of population, which counts all residents regardless of legal status or citizenship. The values shown are midyear estimates.",,,,,,,,,,
,,,,,,,,,,
Source,,,,,,,,,,
"(1) United Nations Population Division. World Population Prospects: 2019 Revision. (2) Census reports and other statistical publications from national statistical offices, (3) Eurostat: Demographic Statistics, (4) United Nations Statistical Division. Population and Vital Statistics Reprot (various years), (5) U.S. Census Bureau: International Database, and (6) Secretariat of the Pacific Community: Statistics and Demography Programme.",,,,,,,,,,
,,,,,,,,,,
General comments,,,,,,,,,,
Relevance to gender indicator: disaggregating the population composition by gender will help a country in projecting its demand for social services on a gender basis.,,,,,,,,,,
,,,,,,,,,,
Population ages 0-14 (% of total population),,,,,,,,,,
Long definition,,,,,,,,,,
Population between the ages 0 to 14 as a percentage of the total population. Population is based on the de facto definition of population.,,,,,,,,,,
,,,,,,,,,,
Source,,,,,,,,,,
World Bank staff estimates based on age/sex distributions of United Nations Population Division's World Population Prospects: 2019 Revision.,,,,,,,,,,
,,,,,,,,,,
Population ages 15-64 (% of total population),,,,,,,,,,
Long definition,,,,,,,,,,
"Total population between the ages 15 to 64 as a percentage of the total population. Population is based on the de facto definition of population, which counts all residents regardless of legal status or citizenship.",,,,,,,,,,
,,,,,,,,,,
Source,,,,,,,,,,
World Bank staff estimates based on age/sex distributions of United Nations Population Division's World Population Prospects: 2019 Revision.,,,,,,,,,,
,,,,,,,,,,
Population ages 65 and above (% of total population),,,,,,,,,,
Long definition,,,,,,,,,,
"Population ages 65 and above as a percentage of the total population. Population is based on the de facto definition of population, which counts all residents regardless of legal status or citizenship.",,,,,,,,,,
,,,,,,,,,,
Source,,,,,,,,,,
World Bank staff estimates based on age/sex distributions of United Nations Population Division's World Population Prospects: 2019 Revision.,,,,,,,,,,
,,,,,,,,,,
"Age dependency ratio, young (% of working-age population)",,,,,,,,,,
Long definition,,,,,,,,,,
"Age dependency ratio, young, is the ratio of younger dependents--people younger than 15--to the working-age population--those ages 15-64. Data are shown as the proportion of dependents per 100 working-age population.",,,,,,,,,,
,,,,,,,,,,
Source,,,,,,,,,,
World Bank staff estimates based on age distributions of United Nations Population Division's World Population Prospects: 2019 Revision.,,,,,,,,,,
,,,,,,,,,,
"Age dependency ratio, old (% of working-age population)",,,,,,,,,,
Long definition,,,,,,,,,,
"Age dependency ratio, old, is the ratio of older dependents--people older than 64--to the working-age population--those ages 15-64. Data are shown as the proportion of dependents per 100 working-age population.",,,,,,,,,,
,,,,,,,,,,
Source,,,,,,,,,,
World Bank staff estimates based on age distributions of United Nations Population Division's World Population Prospects: 2019 Revision.,,,,,,,,,,
,,,,,,,,,,
"Death rate, crude (per 1,000 people)",,,,,,,,,,
Long definition,,,,,,,,,,
"Crude death rate indicates the number of deaths occurring during the year, per 1,000 population estimated at midyear. Subtracting the crude death rate from the crude birth rate provides the rate of natural increase, which is equal to the rate of population change in the absence of migration.",,,,,,,,,,
,,,,,,,,,,
Source,,,,,,,,,,
"(1) United Nations Population Division. World Population Prospects: 2019 Revision. (2) Census reports and other statistical publications from national statistical offices, (3) Eurostat: Demographic Statistics, (4) United Nations Statistical Division. Population and Vital Statistics Reprot (various years), (5) U.S. Census Bureau: International Database, and (6) Secretariat of the Pacific Community: Statistics and Demography Programme.",,,,,,,,,,
,,,,,,,,,,
"Birth rate, crude (per 1,000 people)",,,,,,,,,,
Long definition,,,,,,,,,,
"Crude birth rate indicates the number of live births occurring during the year, per 1,000 population estimated at midyear. Subtracting the crude death rate from the crude birth rate provides the rate of natural increase, which is equal to the rate of population change in the absence of migration.",,,,,,,,,,
,,,,,,,,,,
Source,,,,,,,,,,
"(1) United Nations Population Division. World Population Prospects: 2019 Revision. (2) Census reports and other statistical publications from national statistical offices, (3) Eurostat: Demographic Statistics, (4) United Nations Statistical Division. Population and Vital Statistics Reprot (various years), (5) U.S. Census Bureau: International Database, and (6) Secretariat of the Pacific Community: Statistics and Demography Programme.",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"Please see the online table at http://wdi.worldbank.org/table/2.1 for observation-level metadata, which can be downloaded in Excel.",,,,,,,,,,
