"","total_confirmed_deaths_due_to_covid_19_per_million_people","age_standardised_diabetes_prevalence_male","age_standardised_diabetes_prevalence_female","crude_diabetes_prevalence_male","crude_diabetes_prevalence_female","ratio_of_diabetes_to_obesity_prevalence","ratio_of_diabetes_to_overweight_prevalence","deaths_no_access_to_handwashing_facility_sex_both_age_70_number","deaths_unsafe_sanitation_sex_both_age_70_number","deaths_unsafe_water_source_sex_both_age_70_number","deaths_no_access_to_handwashing_facility_sex_both_age_70_r_ate","deaths_unsafe_sanitation_sex_both_age_70_rate","deaths_unsafe_water_source_sex_both_age_70_rate","male_lung_cancer_deaths_per_100_000_who_iarc_2016","dementia_ihme_2017","cardiovascular_diseases_ihme_2017","stroke_ihme_2017","kidney_disease_ihme_2017","respiratory_disease_ihme_2017","liver_disease_ihme_2017","diabetes_blood_and_endocrine_disease_ihme_2017","digestive_disease_ihme_2017","hepatitis_ihme_2017","meningitis_ihme_2017","cancers_ihme_2017","parkinsons_disease_ihme_2017","prevalence_of_obesity_both_sexes_who_2019","prevalence_of_obesity_male_who_2019","prevalence_of_obesity_female_who_2019"
"deaths_no_access_to_handwashing_facility_sex_both_age_70_r_ate",-0.34,-0.31,-0.26,-0.58,-0.58,0.16,0,0.18,0.18,0.17,1,0.99,0.99,-0.57,-0.09,0.25,0.44,-0.07,0.41,0.39,0.14,0.83,0.88,0.9,0.11,-0.68,-0.67,-0.71,-0.55
"deaths_unsafe_sanitation_sex_both_age_70_rate",-0.34,-0.29,-0.25,-0.56,-0.56,0.18,0.02,0.19,0.19,0.18,0.99,1,0.99,-0.57,-0.09,0.26,0.46,-0.04,0.47,0.39,0.16,0.82,0.88,0.88,0.1,-0.68,-0.66,-0.7,-0.55
"deaths_unsafe_water_source_sex_both_age_70_rate",-0.34,-0.28,-0.23,-0.55,-0.55,0.21,0.05,0.25,0.25,0.24,0.99,0.99,1,-0.58,-0.09,0.26,0.46,-0.02,0.49,0.39,0.18,0.82,0.88,0.86,0.07,-0.68,-0.67,-0.72,-0.56
"male_lung_cancer_deaths_per_100_000_who_iarc_2016",0.25,-0.08,-0.24,0.21,0.21,-0.2,-0.24,-0.08,-0.08,-0.08,-0.57,-0.57,-0.58,1,-0.13,-0.18,-0.3,-0.44,-0.34,-0.38,-0.49,-0.54,-0.59,-0.58,0.32,0.72,0.41,0.59,0.2
"dementia_ihme_2017",-0.04,0.24,0.16,0.01,0.01,0.24,0.31,-0.12,-0.11,-0.11,-0.09,-0.09,-0.09,-0.13,1,-0.19,-0.15,0.26,0.04,-0.1,0.16,0.01,-0.03,-0.07,-0.15,0.04,0.02,0,0.05
"cardiovascular_diseases_ihme_2017",-0.34,0.21,0.27,0.09,0.09,0.09,0.1,0.03,0.03,0.03,0.25,0.26,0.26,-0.18,-0.19,1,0.86,0.19,0.37,0.47,0.28,0.34,0.32,0.29,-0.02,-0.21,-0.2,-0.28,-0.12
"stroke_ihme_2017",-0.36,0,0.1,-0.11,-0.11,0.23,0.15,0.02,0.02,0.02,0.44,0.46,0.46,-0.3,-0.15,0.86,1,0.17,0.52,0.48,0.29,0.52,0.47,0.44,0.12,-0.39,-0.43,-0.5,-0.33
"kidney_disease_ihme_2017",-0.05,0.45,0.59,0.34,0.35,0.21,0.41,0.02,0.02,0.02,-0.07,-0.04,-0.02,-0.44,0.26,0.19,0.17,1,0.34,0.17,0.81,0.1,-0.01,-0.02,-0.27,-0.31,0.09,-0.09,0.24
"respiratory_disease_ihme_2017",-0.19,0.07,0.08,-0.14,-0.14,0.33,0.27,0.25,0.25,0.25,0.41,0.47,0.49,-0.34,0.04,0.37,0.52,0.34,1,0.32,0.39,0.41,0.39,0.27,-0.02,-0.41,-0.36,-0.41,-0.29
"liver_disease_ihme_2017",-0.17,-0.01,0.12,-0.08,-0.08,0.08,0.06,0,0,0,0.39,0.39,0.39,-0.38,-0.1,0.47,0.48,0.17,0.32,1,0.13,0.5,0.45,0.42,-0.02,-0.38,-0.33,-0.41,-0.23
"diabetes_blood_and_endocrine_disease_ihme_2017",-0.17,0.35,0.53,0.28,0.28,0.21,0.41,0.02,0.02,0.02,0.14,0.16,0.18,-0.49,0.16,0.28,0.29,0.81,0.39,0.13,1,0.26,0.17,0.16,-0.1,-0.41,-0.03,-0.22,0.15
"digestive_disease_ihme_2017",-0.27,-0.36,-0.23,-0.54,-0.54,0.14,0.04,0.04,0.04,0.04,0.83,0.82,0.82,-0.54,0.01,0.34,0.52,0.1,0.41,0.5,0.26,1,0.82,0.84,0.3,-0.67,-0.61,-0.69,-0.49
"hepatitis_ihme_2017",-0.36,-0.23,-0.19,-0.53,-0.53,0.29,0.14,0.27,0.27,0.26,0.88,0.88,0.88,-0.59,-0.03,0.32,0.47,-0.01,0.39,0.45,0.17,0.82,1,0.87,0.06,-0.63,-0.68,-0.71,-0.57
"meningitis_ihme_2017",-0.35,-0.32,-0.26,-0.58,-0.58,0.08,-0.06,0.02,0.02,0.01,0.9,0.88,0.86,-0.58,-0.07,0.29,0.44,-0.02,0.27,0.42,0.16,0.84,0.87,1,0.2,-0.64,-0.64,-0.69,-0.52
"cancers_ihme_2017",0,-0.48,-0.43,-0.25,-0.25,-0.15,-0.27,-0.14,-0.14,-0.14,0.11,0.1,0.07,0.32,-0.15,-0.02,0.12,-0.27,-0.02,-0.02,-0.1,0.3,0.06,0.2,1,0.09,-0.1,-0.03,-0.17
"parkinsons_disease_ihme_2017",0.29,0.15,-0.01,0.32,0.32,-0.26,-0.17,-0.07,-0.07,-0.06,-0.68,-0.68,-0.68,0.72,0.04,-0.21,-0.39,-0.31,-0.41,-0.38,-0.41,-0.67,-0.63,-0.64,0.09,1,0.61,0.76,0.42
"prevalence_of_obesity_both_sexes_who_2019",0.36,0.48,0.44,0.63,0.63,-0.55,-0.23,-0.17,-0.17,-0.17,-0.67,-0.66,-0.67,0.41,0.02,-0.2,-0.43,0.09,-0.36,-0.33,-0.03,-0.61,-0.68,-0.64,-0.1,0.61,1,0.94,0.95
"prevalence_of_obesity_male_who_2019",0.4,0.36,0.22,0.5,0.5,-0.51,-0.27,-0.15,-0.15,-0.14,-0.71,-0.7,-0.72,0.59,0,-0.28,-0.5,-0.09,-0.41,-0.41,-0.22,-0.69,-0.71,-0.69,-0.03,0.76,0.94,1,0.8
"prevalence_of_obesity_female_who_2019",0.28,0.59,0.62,0.69,0.69,-0.51,-0.15,-0.17,-0.17,-0.17,-0.55,-0.55,-0.56,0.2,0.05,-0.12,-0.33,0.24,-0.29,-0.23,0.15,-0.49,-0.57,-0.52,-0.17,0.42,0.95,0.8,1
