"","entity","case","n_miss","pct_miss"
"121","Ukraine",1,19,70.3703703703704
"122","Uruguay",1,19,70.3703703703704
"123","Uzbekistan",1,19,70.3703703703704
"124","Venezuela",1,19,70.3703703703704
"125","Vietnam",1,19,70.3703703703704
"126","Yemen",1,19,70.3703703703704
"127","Zambia",1,19,70.3703703703704
"128","Zimbabwe",1,19,70.3703703703704
"129","Afghanistan",1,20,74.0740740740741
"130","Antigua and Barbuda",1,20,74.0740740740741
"131","Bahrain",1,20,74.0740740740741
"132","Botswana",1,20,74.0740740740741
"133","Brunei",1,20,74.0740740740741
"134","Bulgaria",1,20,74.0740740740741
"135","Chad",1,20,74.0740740740741
"136","Comoros",1,20,74.0740740740741
"137","Congo",1,20,74.0740740740741
"138","Cyprus",1,20,74.0740740740741
"139","Equatorial Guinea",1,20,74.0740740740741
"140","Ethiopia",1,20,74.0740740740741
"141","Iraq",1,20,74.0740740740741
"142","Kuwait",1,20,74.0740740740741
"143","Liberia",1,20,74.0740740740741
"144","Malawi",1,20,74.0740740740741
"145","Mozambique",1,20,74.0740740740741
"146","Myanmar",1,20,74.0740740740741
"147","Papua New Guinea",1,20,74.0740740740741
"148","Qatar",1,20,74.0740740740741
"149","Romania",1,20,74.0740740740741
"150","Sao Tome and Principe",1,20,74.0740740740741
"151","Saudi Arabia",1,20,74.0740740740741
"152","Singapore",1,20,74.0740740740741
"153","South Korea",1,20,74.0740740740741
"154","South Sudan",1,20,74.0740740740741
"155","Suriname",1,20,74.0740740740741
"156","Syria",1,20,74.0740740740741
"157","Trinidad and Tobago",1,20,74.0740740740741
"158","United Arab Emirates",1,20,74.0740740740741
"159","Bahamas",1,21,77.7777777777778
"160","Cape Verde",1,21,77.7777777777778
"161","Cuba",1,21,77.7777777777778
"162","Libya",1,21,77.7777777777778
"163","Andorra",1,22,81.4814814814815
"164","Somalia",1,22,81.4814814814815
"165","Monaco",1,24,88.8888888888889
"166","San Marino",1,24,88.8888888888889
"167","Liechtenstein",1,25,92.5925925925926
